stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,1,1,3,13,0,0,0,0
 24-34,0,0,2.46,0.82,4.93,0,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0,3.28,67.31,0,0,0.82,0,0,1.64,0,0.82,0,12.31,0,0,0,0
 36-46,0,0,0,0,11.28,0,0,0.81,1.61,0,0.81,0.81,0,0,0,0,0,5.64,0,0,2.42,69.29,0,0,0.81,0,0,0.81,0,0,0,16.92,0,0.81,0,0.81
 48-58,0,0,1.72,0.57,16.07,1.15,0.57,0.57,4.02,0,0.57,0,0,0,0,0.57,0,9.18,0,0,1.72,68.28,0,0.57,0,0,0.57,0.57,0,0,0,17.79,0.57,1.72,0,0.57
 60-70,0,0,0.98,0,28.46,0,0,0,1.96,0.98,0,0,0,1.96,0,0,0.98,7.85,0,0.98,0.98,71.65,0,0.98,0,0,0,0,0,0,0,9.82,0.98,0.98,0,0
 72-82,0,0,0.98,0,23.56,0,0,0.98,10.8,0.98,0,0,0,0,0,0.98,0,14.72,0,0,0.98,58.9,0,0.98,0,0,0,0,0,0,0,2.94,0.98,1.96,0,0
 84-94,0,0,0,0,12.74,0,1.06,2.12,6.37,0,0,2.12,0,0,0,1.06,0,4.25,1.06,1.06,0,38.23,2.12,0,0,0,0,1.06,0,1.06,0,0,0,0,3.19,0
 96-106,0,0,1.09,2.19,13.11,1.09,0,0,10.93,0,1.09,0,1.09,0,0,0,0,10.93,0,1.09,0,24.04,1.09,1.09,1.09,0,0,1.09,0,0,0,4.37,0,0,0,0
108-118,0,0,2.3,0.77,9.19,0,0,0,3.06,0.77,0,0,0,0.77,2.3,0,0,6.89,0,0,0,26.04,0,0,0.77,0,0,1.53,0,0,0,0,0,1.53,0,0.77
120,0,0,7.84,0,13.72,0,1.96,0,5.88,0,0,1.96,0,0,1.96,0,0,3.92,0,0,1.96,39.2,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
