stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,mesenchyme,neural,paraxial_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,91.94,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,5.26,5.26,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,4.03,0,1.61,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,1.72,0.57,0.57,0,0,0,0,1.15
 60-70,0,0,0,2.94,0.98,0,3.93,0,0,0,0,0,0,2.94
 72-82,0,0,0,0,0,0.98,1.96,1.96,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,7.43,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,10.93,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0,0.77,7.66,0,0,0,0,0,0,1.53
120,0,0,1.96,0,0,1.96,9.8,0,0,0,0,0,0,0
