stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,55.17,655.87,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,55.17,6.13,0,0,24.52,12.26,0,0,0,0,0,0,0,0
  7-9,10.51,0,7.89,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,184.01,5.26,0,0,49.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,6.29,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,13,1,0,4,1,0,0,0,2,0,0,0,0,0,2,5,25,0,0,1,2,0,4,1,4,11,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,4.1,2.46,18.06,0.82,0,0,0,5.75,0,0,0.82,4.93,0,0,1.64,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,4.03,0.81,12.09,0,0.81,0,0,2.42,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,0,21.23,0,0,1.15,0,0,0,0.57,0,0,0.57,4.59,2.3,20.08,0,0,0,0,1.72,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,7.85,0,0,0.98,0,0,0,0,0,0,0,5.89,0,13.74,0,0,0,0,0.98,0,0,0,0.98,0.98,0,0.98,0.98
 72-82,0,0,0,0,0,0,8.83,0,0,0.98,0,0,0.98,0,0,0,0,2.94,0,14.72,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,1.06,0,0,1.06,0,0,0,3.19,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,5.46,0,1.09,1.09,0,0,1.09,0,0,0,0,7.65,0,7.65,0,0,0,0,4.37,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,0.77,3.83,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,0,0,11.76,0,0,0,0,0,0,1.96,0,0,0,3.92,1.96,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0
