stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.5,0,0,0,0,0,0,0,0,0
  5-6,24.52,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,582.32,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,89.38,0,0,0,23.66,0,57.83,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,22.03,0,25.18,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,32,2,0,0,1,0,313,10,0,7,7,0,0,0,0,0
 24-34,0,0,1.64,12.31,0.82,0,11.49,0,2.46,0,3.28,0.82,0,0.82,0,12.31,0.82,1.64,0.82,12.31,15.6,0,4.1,133.8,0.82,4.1,0.82,0,0,917.72,0.82,0.82,3.28,16.42,0,0,3.28,0,0.82
 36-46,0,0,0,8.06,0,0,16.11,0,8.06,0,2.42,0.81,0,0.81,1.61,9.67,0,1.61,0.81,9.67,19.34,0,4.83,92.65,0.81,6.45,0,0,0,1148.88,0,0.81,0.81,31.42,0,0,0.81,0,0.81
 48-58,0,0,0,18.94,0,0,28.12,0.57,14.35,0,4.59,0,0,0.57,5.16,8.03,0.57,0.57,0,13.77,10.9,0,4.59,76.32,0,2.3,0.57,0,0,815.38,0,0,0,19.51,0,0,0.57,0,2.3
 60-70,0,0,0,57.91,0,0,77.54,0.98,16.69,0.98,15.7,0.98,0,0,8.83,14.72,0,0.98,0,32.39,7.85,0.98,0,116.8,0,6.87,0,0,0,1127.77,0,1.96,0,16.69,1.96,1.96,2.94,0,1.96
 72-82,0,0,0,140.38,1.96,0.98,34.36,0,20.61,0.98,6.87,8.83,0.98,1.96,18.65,53.99,0,4.91,0.98,23.56,9.82,0,6.87,97.18,0.98,7.85,0.98,0,0,994.42,0,1.96,0,6.87,7.85,0.98,4.91,1.96,0.98
 84-94,0,0,0,304.8,5.31,0,23.36,0,74.34,1.06,4.25,26.55,0,0,24.43,121.07,1.06,4.25,0,19.12,31.86,0,5.31,32.92,0,21.24,2.12,0,0,2921.66,0,12.74,0,4.25,40.36,1.06,8.5,0,2.12
 96-106,0,0,0,442.6,15.3,1.09,100.54,2.19,137.7,2.19,13.11,64.48,0,2.19,41.53,187.97,1.09,13.11,4.37,37.16,55.74,3.28,5.46,132.23,0,30.6,4.37,0,2.19,3833.71,0,12.02,0,3.28,52.46,0,9.84,3.28,3.28
108-118,0,0,0,384.51,6.89,6.13,34.47,2.3,164.68,7.66,16.85,49.79,0,0.77,32.94,180.77,0.77,8.43,3.06,29.87,58.21,2.3,3.06,84.26,0.77,32.17,1.53,0,0,2859.34,0,13.79,0,1.53,32.17,1.53,5.36,2.3,1.53
120,0,0,0,290.05,5.88,0,17.64,0,137.18,0,5.88,19.6,0,0,23.52,99.95,1.96,5.88,3.92,13.72,33.32,0,5.88,92.11,1.96,9.8,1.96,0,1.96,1842.2,0,19.6,0,1.96,9.8,0,7.84,1.96,1.96
