stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,382.16,7142.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0
  5-6,245.19,3457.11,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,110.33,18.39,0,0,18.39,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,26.29,52.57,0,0,0,120.92,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,985.77,26.29,0,0,457.4,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,56.65,0,0,0,66.09,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,641.98,6.29,0,0,295.82,3.15,12.59,0,22.03,3.15,3.15,0,0,0,0,0
 14-21,0,0,7,73,19,0,35,0,0,10,3,0,1,0,1,0,0,0,0,33,0,0,32,598,6,8,9,20,5,1,81,2,44,189,0,0,2,0,0
 24-34,0,0,0,18.88,4.1,0,114.92,0,0,13.13,0.82,0,0,4.93,1.64,0,1.64,0,0,59.92,0,0,18.06,1003.91,4.1,27.09,8.21,0,16.42,0,0.82,4.93,6.57,267.6,0,0,6.57,0,0
 36-46,0,0,0,11.28,8.86,0,342.41,0,0,16.11,0,0,1.61,4.83,0,0,0.81,0,0,36.26,0,1.61,16.11,679.18,1.61,8.06,4.83,0,12.89,0,0.81,2.42,0,182.08,0,0,4.83,0,2.42
 48-58,0,0,0,8.61,12.62,0,451.01,0,0,15.49,0,0,1.15,1.72,0,0.57,0.57,0,0,37.87,0,4.59,9.18,352.89,1.72,2.3,1.72,0,4.02,0,0,0.57,0,60.25,0,0,2.87,0,0
 60-70,0.98,0,0,7.85,1.96,0,333.72,0,0,20.61,0.98,0,0.98,1.96,0,0.98,0.98,0,0,33.37,0,4.91,8.83,171.77,1.96,2.94,1.96,0,3.93,0,0,0,0,9.82,0,0,0.98,0,0
 72-82,0,0,0,12.76,0,0,143.32,0.98,0,29.45,2.94,0,1.96,3.93,0.98,0.98,0.98,0,0,40.25,0,0.98,5.89,145.29,0,7.85,4.91,0,1.96,0,0,0,0,4.91,0,0,4.91,0,0.98
 84-94,0,0,0,9.56,2.12,0,117.89,0,0,9.56,2.12,0,1.06,4.25,2.12,2.12,0,0,0,33.99,0,3.19,6.37,99.83,5.31,10.62,2.12,0,2.12,0,0,2.12,0,2.12,1.06,1.06,5.31,1.06,1.06
 96-106,0,0,0,12.02,5.46,1.09,83.06,0,0,20.76,3.28,0,2.19,8.74,0,1.09,1.09,0,1.09,21.86,0,3.28,3.28,112.56,0,9.84,8.74,0,1.09,0,0,2.19,0,1.09,1.09,0,4.37,0,0
108-118,0,0,0.77,9.96,7.66,0,80.43,0,0.77,21.45,5.36,0,0,6.89,0.77,0.77,0,0.77,0.77,13.02,0.77,2.3,4.6,116.43,0,11.49,3.06,0,4.6,0,0,2.3,0,3.06,0,0,4.6,0,0
120,0,0,0,3.92,11.76,0,50.95,0,0,15.68,3.92,0,0,11.76,0,0,0,1.96,0,19.6,0,0,3.92,105.83,0,0,5.88,0,0,0,0,0,0,3.92,0,0,3.92,0,0
