stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,4.93,4.93,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,3.22,0.81,0,0,0,0.81,0.81
 48-58,0,0,0,0,0,0,2.3,0,0,0,1.15,1.15,1.15,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,10.8,0,0,0,0,0.98,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,36.32,0,0,1.96,0.98,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,22.3,2.12,1.06,0,0,1.06,2.12,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,21.86,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,2.3,9.96,0,0,0,0,1.53,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,0,17.64,0,0,0,0,1.96,0,0,0,0,0,0,0
