stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,109.99,0,1.64,0.82,0,0,0,0,0,5.75,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,83.79,0,0,0,1.61,0,0,0,0,0,0,0,0,4.03,0,0,0.81,245.73,0,0,0,0,0,0.81,0,0,12.09,0,0,0,0,0
 48-58,0,0,0,3.44,0,0,534.21,0,0.57,0,7.46,0,0,0,0,0.57,0.57,0,0,12.05,0,0.57,2.3,379.86,0,0.57,0,0,0.57,1.15,0,0,30.41,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,1426.15,0,1.96,0,9.82,0,0,0.98,0,0,0,0,0,12.76,0,0.98,1.96,550.63,0,0,0,0,0,5.89,0.98,0.98,62.82,0,1.96,1.96,0,1.96
 72-82,0,1.96,0,23.56,2.94,0,2016.33,1.96,2.94,2.94,70.68,3.93,2.94,1.96,0.98,0,0,0,0,55.95,0,0.98,5.89,757.84,0.98,1.96,0.98,0,0.98,3.93,0.98,0,42.21,1.96,2.94,5.89,4.91,6.87
 84-94,0,1.06,0,60.54,4.25,0,1333.92,1.06,9.56,0,65.85,4.25,3.19,3.19,1.06,5.31,2.12,0,0,54.16,1.06,3.19,8.5,474.73,1.06,1.06,2.12,0,0,9.56,1.06,0,19.12,3.19,4.25,5.31,1.06,2.12
 96-106,0,1.09,0,52.46,12.02,1.09,1277.54,3.28,4.37,0,80.87,4.37,2.19,4.37,2.19,0,1.09,3.28,1.09,49.18,1.09,2.19,7.65,449.16,1.09,2.19,3.28,0,4.37,17.49,2.19,0,9.84,2.19,1.09,6.56,3.28,1.09
108-118,0,0,0.77,9.19,4.6,0,921.45,0.77,1.53,1.53,35.23,3.83,0.77,6.13,1.53,0,0.77,0.77,0,22.98,0,5.36,5.36,485.62,1.53,1.53,3.06,0,0.77,9.19,0,0,6.13,3.06,0,1.53,0.77,1.53
120,0,0,1.96,15.68,5.88,0,617.33,1.96,3.92,0,45.08,1.96,0,0,1.96,1.96,0,0,0,17.64,0,1.96,5.88,421.35,0,0,7.84,0,1.96,3.92,0,0,5.88,0,0,0,0,1.96
