stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,13,0,0,0,0
 24-34,0,0,0.82,0.82,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,96.86,0,2.46,0,0.82,0.82,0,27.09,0,0,0.82,0
 36-46,0,0,0,0.81,11.28,0.81,0,0,0,0,0,0,0.81,0,0,0,4.03,0.81,2.42,0,0.81,290.04,0,4.03,0,0,0,0,58.01,0,0,0.81,0
 48-58,0,0,0.57,1.72,30.99,0,0,2.87,0,2.3,0,0,0.57,0,0,0,3.44,2.87,0.57,0,0,315.02,0,1.72,0.57,0,0.57,0,50.49,0,0,0,1.15
 60-70,0,0,0,0.98,112.88,0,0,2.94,1.96,1.96,0,0.98,0,0,0,0.98,1.96,4.91,1.96,0,0,559.47,0,5.89,0,0,0,0,72.63,0,0,0,0.98
 72-82,0,0,3.93,4.91,186.52,1.96,0.98,12.76,5.89,1.96,0.98,0.98,0,0,1.96,0,1.96,13.74,3.93,0,0,376.96,0,1.96,0,0,0.98,0,23.56,0,0,2.94,1.96
 84-94,0,0,5.31,3.19,115.76,0,0,12.74,9.56,1.06,0,1.06,0,0,1.06,0,3.19,5.31,3.19,1.06,0,202.85,0,3.19,2.12,2.12,1.06,0,12.74,1.06,0,0,0
 96-106,0,0,3.28,4.37,136.61,0,0,5.46,7.65,0,1.09,2.19,0,1.09,0,0,3.28,7.65,8.74,1.09,0,165.02,1.09,2.19,1.09,2.19,0,0,6.56,1.09,1.09,0,0
108-118,0,0,2.3,2.3,89.62,0,0,7.66,12.26,0,0,0,0.77,0.77,0,0,0.77,3.83,3.06,0,0.77,173.87,0,2.3,0,1.53,0,0,3.83,2.3,0,0.77,0
120,0,0,3.92,5.88,64.67,1.96,0,3.92,7.84,0,0,1.96,0,0,0,0,1.96,1.96,1.96,0,1.96,184.22,0,5.88,0,0,0,0,5.88,0,0,0,0
