stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0.82,0.82,0,0,0,1.64,0,0.82,0,0,0,4.1,0,3.28,10.67,0,0,1.64,0,0,29.55,0,0.82,0,0,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,4.03,0,0.81,0.81,0.81,0,1.61,0,0,0.81,0,0,8.06,0,0.81,8.86,0,0,0,0,0,39.48,0,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,0,0,6.31,0,0,6.31,0,1.72,0.57,0.57,0,0.57,0,0,0.57,0,0.57,13.77,0,0.57,12.05,0,0,0,0,0,30.99,0,0,0,0,4.02,0,0,0.57,0,0.57
 60-70,0,0,0,0,15.7,0,0,7.85,0,4.91,4.91,0.98,0,0,0,0,3.93,0,0,35.33,0.98,0,10.8,0,0.98,1.96,0,0,37.3,0,0.98,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,20.61,0,0,15.71,0,8.83,6.87,4.91,0,0,0.98,0,0,0.98,0,35.34,0,4.91,14.72,0,0.98,4.91,0,0,30.43,0,1.96,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,30.8,0,1.06,11.68,0,13.81,5.31,1.06,1.06,1.06,1.06,0,3.19,0,0,25.49,1.06,0,2.12,0,0,1.06,0,0,69.03,0,15.93,0,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,49.18,2.19,0,12.02,0,10.93,4.37,9.84,1.09,0,0,2.19,1.09,0,0,28.41,1.09,1.09,7.65,0,2.19,0,0,0,53.55,0,29.51,1.09,0,0,0,1.09,3.28,1.09,1.09
108-118,0,0,0,0.77,41.36,0.77,6.89,14.55,0.77,22.98,0,0,3.06,0.77,1.53,0,3.06,0,0,30.64,0.77,0.77,8.43,0,0,1.53,0,0.77,24.51,0,32.94,0,0,0,0,0.77,1.53,0.77,0
120,0,0,0,0,35.28,0,1.96,7.84,5.88,1.96,0,3.92,3.92,0,0,0,0,0,0,25.48,0,3.92,3.92,1.96,0,1.96,0,0,31.36,0,25.48,0,0,0,0,0,0,0,0
