stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,2,0,2,1,5,0,0,0,0,0
 24-34,0,0,0,32.83,0,0,0.82,0,3.28,0,0,0,0,0,0.82,0,0,0,0,4.1,0,0,0,41.86,0.82,0.82,0.82,0,0,4.93,0,0.82,0,0,28.73,0,0,3.28,0,0.82
 36-46,0,0,0,20.95,0,0,4.83,0,3.22,0,4.03,0,0.81,0,0,0,0,0.81,0,4.03,0,0.81,0.81,99.9,0,2.42,0,0,0,2.42,0,0,0.81,0,39.48,0,0,4.83,0,0
 48-58,0,0,0,17.21,0.57,0,18.36,0,5.16,0.57,21.23,0,1.15,0,0,0,0,0.57,0,11.48,0.57,0,2.3,138.29,2.3,2.3,1.72,0,0,4.02,0,0.57,0,0,46.48,0,0,6.89,0,0
 60-70,0,0,0,23.56,0,0,40.24,0,11.78,0,39.26,0,0,0,0.98,0,0,0,1.96,13.74,0,0.98,0.98,269.92,1.96,2.94,0,0,0,4.91,0,0.98,0,0,51.04,0,0.98,1.96,0.98,1.96
 72-82,0,1.96,0.98,27.49,0.98,0,74.61,0,10.8,0,61.84,12.76,3.93,0.98,2.94,0,0,0.98,0,35.34,0,0.98,0,304.32,1.96,2.94,0.98,0,0.98,1.96,0,2.94,0.98,0,47.12,0,2.94,24.54,0.98,0.98
 84-94,0,1.06,0,50.98,3.19,0,48.85,0,14.87,0,43.54,15.93,2.12,0,4.25,1.06,0,0,0,13.81,0,5.31,0,164.62,5.31,4.25,2.12,0,0,9.56,0,2.12,1.06,0,36.11,1.06,3.19,16.99,0,0
 96-106,0,1.09,0,43.71,2.19,1.09,48.09,1.09,13.11,2.19,45.9,28.41,2.19,1.09,2.19,1.09,1.09,1.09,0,37.16,0,1.09,2.19,198.9,4.37,4.37,2.19,0,3.28,25.14,0,1.09,0,0,19.67,0,4.37,17.49,3.28,1.09
108-118,0,3.06,0,59.75,0.77,0.77,49.79,0,27.57,0.77,47.49,49.79,1.53,3.83,4.6,3.06,0.77,0,0.77,40.6,0.77,2.3,0.77,186.89,3.83,6.13,5.36,0,1.53,9.96,0,1.53,0,0,9.96,3.06,4.6,16.09,1.53,3.06
120,0,1.96,0,72.51,1.96,0,52.91,0,19.6,1.96,58.79,76.43,1.96,5.88,1.96,1.96,0,3.92,0,41.16,3.92,0,1.96,246.93,3.92,0,3.92,0,0,13.72,0,3.92,0,0,27.44,0,3.92,7.84,1.96,0
