stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,49.95,2.63,0,13.14,0,42.06,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,12.59,0,28.32,0,0,0,0,0,0,0
 14-21,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,25,1,1,2,5,0,0,0
 24-34,0,0,27.09,0,1.64,2.46,0,0,0,0,1.64,0,0,0,0,0,0,0,11.49,0,0,0,0,6.57,0,0,0.82,8.21,0,0,0
 36-46,0,0,23.36,0,3.22,8.06,0,0.81,0,0,0,0,0,0,0.81,0,0,0,19.34,0,0,0,0,2.42,0,0,0,1.61,0,0,0
 48-58,0,0,30.99,0,6.89,8.03,0.57,0.57,0,0,0,0,0,0,0,2.3,0,0,19.51,0.57,0,0,0,0.57,0,0,0,4.02,0.57,0,0
 60-70,0,0,55.95,0,3.93,8.83,0.98,2.94,0,0,0,0,0,0,0,3.93,0.98,0.98,14.72,0,0,0,0,2.94,0,0,0,0.98,0.98,0,0
 72-82,0,0,47.12,0,17.67,6.87,0,0,0,0,0.98,0,0,0,0,3.93,0.98,0,28.47,0,0,0,0.98,24.54,0,0,0,0.98,0,0,0.98
 84-94,0,0,81.78,0,2.12,11.68,0,1.06,0,0,2.12,0,0,0,0,2.12,1.06,1.06,4.25,1.06,1.06,0,0,31.86,0,0,0,0,0,0,0
 96-106,0,0,69.94,1.09,4.37,7.65,0,3.28,2.19,0,1.09,0,0,0,0,2.19,1.09,0,8.74,1.09,0,0,0,111.47,0,0,0,0,0,0,0
108-118,0,0,102.64,0.77,6.89,19.15,0,3.06,0,0,1.53,0.77,0,0.77,0,0,2.3,0.77,10.72,0,0,0,0,92.68,0,0,0,0.77,0,0.77,0
120,0,0,117.59,0,5.88,13.72,0,0,1.96,0,1.96,0,1.96,0,0,0,5.88,0,17.64,0,0,0,0,125.43,0,0,0,0,0,0,0
