stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,2.46,0,0,4.1,0,0,0,3.28,0,0,0.82
 36-46,0,0,0,0,0,0,3.22,0,0.81,12.89,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,6.31,0,0,0,0.57,0,0,0
 60-70,0,2.94,0,0,1.96,0.98,6.87,0,0.98,15.7,0,0,0,1.96,0,0,0
 72-82,0,1.96,0,0,1.96,0,6.87,0,0,14.72,0,0,0,1.96,0.98,1.96,0
 84-94,0,4.25,0,0,0,0,6.37,1.06,0,2.12,0,0,0,0,0,1.06,0
 96-106,0,2.19,1.09,1.09,0,1.09,3.28,0,0,7.65,0,0,1.09,0,0,0,0
108-118,0.77,2.3,0,0,0.77,0.77,3.83,0,0,6.13,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,1.96,1.96,1.96,5.88,0,1.96,0,0,0,0,0
