stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,2.46,1.64,0,13.95,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,1.61,0,1.61,8.06,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,4.83,8.06,0,0,8.06,0,0.81,0,0.81,0.81,0,0,0,0,0
 48-58,0,1.15,0,4.02,12.62,0,0,1.15,0,0.57,0.57,0,0,0.57,0,1.15,5.74,0,0.57,1.72,13.2,0.57,0,4.02,0,0,1.15,0,2.3,0,0,0.57,0,0
 60-70,0,3.93,0,1.96,20.61,0,0,2.94,0.98,0,0,0,0,0,0,0,8.83,0,0,0.98,8.83,0,0.98,4.91,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,3.93,0,11.78,24.54,0.98,0.98,4.91,3.93,0,0,0,0,0,0,0,11.78,0,0.98,1.96,18.65,0,0,3.93,0,0,1.96,0,1.96,0,0.98,0,0.98,0
 84-94,0,5.31,1.06,2.12,47.79,0,0,4.25,0,0,0,1.06,0,1.06,0,0,6.37,0,0,5.31,10.62,1.06,2.12,12.74,0,0,2.12,0,0,0,0,0,2.12,0
 96-106,0,15.3,2.19,5.46,96.17,0,1.09,8.74,0,0,0,1.09,1.09,0,1.09,0,9.84,0,0,7.65,17.49,1.09,0,12.02,0,0,1.09,0,0,2.19,0,0,1.09,1.09
108-118,0.77,7.66,0,4.6,73.53,0,0,6.13,1.53,0,0.77,0,0.77,0,0.77,0.77,4.6,0.77,0,16.85,11.49,0,1.53,6.89,0,0,4.6,0,0,1.53,0.77,0,2.3,0
120,0,15.68,0,7.84,52.91,0,0,1.96,7.84,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
