stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,14,4,0,0,0,0,1,0,0,0,4,4,4,24,0,1,85,3,52,4,0,3,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0.82,1.64,0.82,6.57,0,0,0,0,0.82,1.64,1.64,0,0.82,0
 36-46,0,0.81,0,0.81,0.81,0,0,0,0,0,0,1.61,0,6.45,0,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,5.74,0,0,0,0,0,0,0,1.15,0,16.64,0.57,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,0.98,0,26.5,0,0,0,0,0,0,0,0.98,0,55.95,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0.98,0,0,32.39,0,0,0.98,0,0.98,0,0.98,2.94,0.98,75.59,0.98,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,15.93,0,0,2.12,0,0,0,0,2.12,1.06,45.67,2.12,0,1.06,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,13.11,0,0,0,0,0,0,0,2.19,1.09,48.09,2.19,0,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0,12.26,0,0.77,0,0,0,0,0,3.83,0,49.79,1.53,0,1.53,0,0,0,0.77,0,0,0
120,0,0,0,13.72,0,1.96,1.96,0,0,0,0,0,0,50.95,1.96,0,0,0,0,0,0,0,0,0
