stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,1172.84,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,6.13,343.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,34.17,0,5.26,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,12.59,0,3.15,0,3.15
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0.81,4.03,0,0,0,0
 48-58,0,0,0,0,1.72,0,1.15,0,0,0.57,0,2.3,0,0,0.57,0.57
 60-70,0,0,0,0,1.96,0,2.94,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0.98,0,0,0.98,0,2.94,0,0,1.96,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0,2.12,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,1.09,0
108-118,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0
