stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,4111.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0
  5-6,392.3,4719.82,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,12.26,0,0,55.17,0,67.43,0,0,0,0,0,0,0,0,0
  7-9,36.8,57.83,70.98,0,0,0,228.7,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,1787.52,49.95,0,0,617.75,0,5.26,10.51,0,0,0,0,0,0,0,0
 10-12,0,44.06,56.65,0,6.29,0,138.47,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1000.74,22.03,0,0,490.93,0,0,9.44,0,37.76,0,3.15,0,0,0,0
 14-21,0,0,7,26,17,0,24,0,0,14,3,0,0,0,0,0,0,0,0,31,0,0,28,346,4,2,11,25,0,3,1,34,1,25,142,0,5,0,1
 24-34,0,0,2.46,12.31,4.1,0,85.37,0,1.64,20.52,0.82,0.82,0.82,0,0,0.82,0,0.82,0,54.18,0,0,27.09,418.64,2.46,3.28,5.75,0,0,7.39,0,0,0,3.28,126.41,0,10.67,0,0
 36-46,0,0,0,4.03,1.61,0,75.73,0,0.81,8.86,0,0,0.81,0,0,0.81,1.61,1.61,0,51.56,0,0,12.89,187.72,0.81,2.42,3.22,0,0,1.61,0,0,0,0,62.84,0,3.22,0,1.61
 48-58,0,0,0.57,6.89,0,0,40.17,1.15,1.15,9.18,0,0,1.72,0.57,0,2.3,0.57,1.15,0,38.44,0.57,0.57,6.31,69.43,1.15,0,1.15,0,0,1.15,0,0,0,0,15.49,0,3.44,0,0.57
 60-70,0,0,0,10.8,0.98,0,48.09,0,0.98,21.59,2.94,0,0,0.98,0,0.98,0,0,0,39.26,0,1.96,8.83,56.93,0,0,0.98,0,0,1.96,0,0,0,0,6.87,0,1.96,0,0.98
 72-82,0,0,0,6.87,1.96,0.98,18.65,0,0.98,27.49,0,0,0.98,3.93,0,0.98,0.98,0,0,31.41,0,1.96,4.91,55.95,0.98,0,0,0,0,0,0,0,0,0,6.87,0.98,3.93,0,1.96
 84-94,0,0,1.06,14.87,3.19,0,28.68,1.06,1.06,20.18,0,0,0,2.12,0,2.12,1.06,0,1.06,37.17,0,3.19,12.74,41.42,1.06,1.06,5.31,0,3.19,5.31,0,0,0,0,5.31,0,8.5,1.06,2.12
 96-106,0,0,0,5.46,3.28,0,24.04,0,1.09,17.49,0,0,2.19,8.74,1.09,0,3.28,1.09,0,20.76,0,2.19,2.19,29.51,2.19,0,2.19,0,0,3.28,0,0,0,0,2.19,0,4.37,1.09,1.09
108-118,0,0,0,6.89,3.83,0,14.55,1.53,2.3,13.02,1.53,0,0,7.66,0.77,4.6,0,0,0,23.74,0,0,6.13,60.51,1.53,0,2.3,0,1.53,0.77,0,0,0,0,1.53,0,4.6,0.77,0
120,0,0,0,11.76,3.92,0,19.6,1.96,0,13.72,1.96,0,0,21.56,0,1.96,1.96,0,0,17.64,0,0,1.96,66.63,1.96,0,0,0,0,0,0,0,0,0,3.92,0,3.92,0,0
