stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,396.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,22.03,0,0,0,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,110.14,18.88,0,0,1110.88,0,0,0,0,9.44,0,69.23,0,0,0,0,0
 14-21,0,1,0,11,0,0,6,0,0,0,3,1,0,0,0,0,0,0,0,0,7,0,0,56,72,1,0,2,8,0,2,1,457,3,470,2636,14,0,1,0,0
 24-34,0,0,0,3.28,1.64,0,8.21,165.81,0,0,2.46,0.82,0,0,0,0,0,0,0,0,12.31,0,0,56.64,93.58,1.64,0.82,1.64,0,0,5.75,0,3.28,0,155.14,518.78,15.6,0,4.1,0,0
 36-46,0,0,0,0.81,0.81,0,8.06,240.9,0.81,2.42,0.81,0,0,0,0.81,0,0,0,0,0,27.39,0,0,86.21,64.45,1.61,0,2.42,1.61,0,4.83,0,1.61,0,70.9,16.92,12.09,0,0.81,0,0
 48-58,0,0,0,2.3,1.15,0,22.38,178.45,0.57,3.44,5.74,0,0,0,1.72,0.57,0.57,0,0.57,0.57,31.56,0.57,0.57,182.47,86.64,1.15,0.57,0.57,0,0,2.87,0,0.57,0,44.18,0.57,16.07,0,0.57,0,1.15
 60-70,0,0,0,0.98,0,0,18.65,76.56,0,1.96,8.83,0,0,0,0,0,0.98,0,0.98,0.98,18.65,0,0.98,114.84,30.43,0,0,0,0,0,0.98,0,0,0,25.52,0,5.89,0.98,0,0,0
 72-82,0,0,0,3.93,2.94,0,27.49,77.55,0.98,2.94,5.89,0.98,0,0,0,0.98,0,0,0.98,0,40.25,0,0,146.27,46.14,0,0.98,0,0,0.98,2.94,0,0,0,18.65,0,3.93,0,0,0,1.96
 84-94,0,0,0,7.43,5.31,0,20.18,101.96,0,1.06,6.37,0,0,0,0,0,0,0,1.06,0,32.92,0,0,138.06,28.68,0,1.06,0,0,0,6.37,0,0,0,25.49,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,21.86,145.35,2.19,1.09,9.84,3.28,0,1.09,5.46,2.19,0,1.09,3.28,0,26.23,0,2.19,124.58,24.04,0,1.09,1.09,1.09,1.09,4.37,0,0,0,33.88,0,1.09,0,3.28,0,0
108-118,0,0,0,4.6,2.3,0,16.09,137.87,0,3.83,5.36,0.77,0,0,1.53,0,0,0,3.06,0,19.92,0,0,127.92,29.11,0.77,0.77,0,0,0,4.6,0,0,0,40.6,0,1.53,0,0.77,0,0
120,0,0,0,1.96,1.96,0,15.68,117.59,1.96,0,0,0,0,0,1.96,0,1.96,1.96,1.96,0,13.72,0,0,119.55,39.2,1.96,0,0,1.96,0,0,0,0,0,9.8,0,0,0,0,1.96,0
