stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,36.8,5.26,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0,29.55,0.82,2.46,0.82,0,0,0.82,0,0,0,0,6.57,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,12.89,0,0,0.81,0,0,0,0,0,0,0,0.81,3.22,0,0,2.42,57.2,0,0.81,0,0,0,3.22,0,0,0,0,7.25,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0.57,0,14.35,0,0,4.02,0,0,0,0,0,0,0.57,0.57,6.89,1.15,0,0.57,64.27,0,1.15,0,0,0,1.72,0,0,0,0,13.2,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,34.35,0,0,6.87,0,0,0,0,0.98,0.98,0,0,11.78,0,0,0,53.98,0,1.96,0,0,0,0.98,0,0,0,0,12.76,0,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,3.93,0,28.47,0,0.98,7.85,0,0,0,0,0,0,0,0,19.63,0.98,0.98,0,60.86,0.98,0,2.94,0,0.98,0.98,0,0,0,0,8.83,0,0,2.94,0.98,0
 84-94,0,0,0,0,2.12,4.25,0,20.18,0,0,7.43,0,0,1.06,0,0,1.06,0,0,11.68,0,0,0,21.24,0,0,1.06,0,0,10.62,0,1.06,0,0,3.19,1.06,1.06,1.06,0,0
 96-106,0,0,0,0,3.28,5.46,1.09,14.21,0,1.09,6.56,0,0,0,0,0,0,0,0,8.74,1.09,0,0,18.58,0,1.09,0,1.09,0,5.46,0,0,0,0,0,1.09,1.09,2.19,0,0
108-118,0,0,0.77,0,7.66,3.06,0.77,8.43,0.77,1.53,5.36,0.77,0,0.77,0.77,0,0,0,0.77,13.02,0.77,0,0,32.94,0.77,0.77,0.77,0,0,4.6,0,0,0.77,0,2.3,0,0,0.77,0,0.77
120,0,0,0,0,1.96,0,0,13.72,0,0,7.84,5.88,0,3.92,1.96,1.96,0,0,0,7.84,0,1.96,3.92,50.95,0,0,0,0,0,11.76,0,0,0,0,1.96,0,0,1.96,1.96,0
