stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,heart,ionocyte,liver,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,237.2,4506.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0
  5-6,122.59,2016.65,0,0,0,0,0,0,0,0,0,0,24.52,0,0,18.39,30.65,0,0,0
  7-9,5.26,2.63,5.26,0,15.77,0,0,7.89,0,0,0,0,168.24,5.26,0,68.35,2.63,7.89,0,0
 10-12,0,6.29,9.44,0,6.29,0,0,3.15,0,0,0,0,81.82,0,0,37.76,0,3.15,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0.57,0,0,0,0,0.57,0.57,3.44,0,0,0,0.57,0,0,1.72
 60-70,0,0,0,0,5.89,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,1.06,0,0,1.06,0,2.12,0,1.06,0,0,0,0,0
 96-106,0,0,0,2.19,3.28,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0,0,0,0,0.77,3.06,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96
