stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,459.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,28.92,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,231.33,0,0,0,115.66,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,66.09,0,9.44,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,3.15,0,0,94.41,0,0,0,53.5,0,0,0,0,0,0,0
 14-21,0,0,4,101,10,0,0,0,0,7,1,4,0,1,0,0,0,83,0,26,33,0,1,0,3,0,4,22,2,2,3,0,0,0,0,0
 24-34,0,0,4.93,30.37,0.82,4.1,0,0,0,7.39,0,2.46,0,0,0,0,2.46,66.49,0.82,12.31,22.16,0,0.82,3.28,0,0.82,1.64,0,0.82,2.46,3.28,0,0,1.64,0,0
 36-46,0,0,0,5.64,0,0,0,0.81,1.61,3.22,0,3.22,0,0,0,0,1.61,29.81,2.42,4.03,13.7,0,0,1.61,0,0.81,0,0,0,0,3.22,0,0.81,0.81,0,0
 48-58,0,0,0.57,2.87,0,0.57,0.57,0,0,4.02,0,0.57,0,0.57,0,0.57,1.15,13.77,2.87,1.15,9.75,0,0,1.15,0,0.57,0,0,0,0,0.57,0,0,0,0.57,0.57
 60-70,0,0,0,3.93,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,15.7,0.98,0.98,9.82,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,1.96,0
 72-82,0,0,0,0,0,0.98,0,2.94,1.96,0,0,0,0.98,0,0,0,0,5.89,1.96,0.98,5.89,0,1.96,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,3.19,0,0,4.25,0,2.12,1.06,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,3.28,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,2.19,0,2.19,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0.77,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0.77,0,1.53,0.77
120,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
