stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,1104.59,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,2,1822,3,6,0,0,0,0,3,6,0,116,0,9,0,0,5,15,0,2,37,2,25,9,0,0,13,3,1,1,7,0,0,0,0,0
 24-34,0,0,0,0,812.65,0,4.1,0,8.21,0,0,1.64,22.16,0,168.28,0,64.03,0.82,0,4.93,46.79,0.82,1.64,80.44,0.82,85.37,5.75,0,0,6.57,0,2.46,1.64,7.39,0,0,0,0,0
 36-46,0,0,0,0,435.06,0,2.42,0,16.92,0.81,1.61,0,12.09,0,60.43,0,64.45,0,0,0.81,33.84,0,0.81,87.82,0,50.76,4.03,0,0,7.25,0,1.61,0,2.42,0,0,0,0,2.42
 48-58,0,0,0,0,331.66,0,6.89,0,27.54,0,1.15,0.57,26.4,1.15,34.43,0,55.09,0,0,2.3,32.13,0,0,44.18,0,33.85,7.46,0,0,0.57,0,1.72,0,4.59,0,0,0,0,2.3
 60-70,0,0,0,0,158.03,0,1.96,0,7.85,1.96,0.98,2.94,7.85,5.89,29.45,0,57.91,0,0,3.93,26.5,0,0,9.82,0,33.37,3.93,0,0,0.98,0,0,0,1.96,4.91,0,0,0,1.96
 72-82,0,0,0.98,0,155.1,0.98,7.85,0.98,11.78,0,1.96,24.54,6.87,6.87,59.88,0.98,73.62,0,0.98,6.87,57.92,0.98,0.98,28.47,0.98,42.21,5.89,0,0,1.96,0,0,0,2.94,36.32,0,0.98,0.98,2.94
 84-94,0,0,1.06,0,191.17,1.06,6.37,0,11.68,0,1.06,45.67,2.12,7.43,88.15,0,89.21,0,1.06,1.06,32.92,0,2.12,11.68,0,106.2,3.19,0,1.06,3.19,0,3.19,0,0,126.38,0,1.06,0,2.12
 96-106,0,0,0,0,219.66,1.09,13.11,0,8.74,0,4.37,86.33,0,12.02,78.68,0,144.26,1.09,2.19,8.74,41.53,0,2.19,24.04,1.09,155.18,5.46,0,0,2.19,0,0,0,2.19,190.16,0,1.09,0,1.09
108-118,0,0,0,0,109.53,0.77,6.13,0,3.06,0.77,6.89,61.28,0.77,9.96,68.17,0,94.21,0,2.3,4.6,37.53,0,0.77,19.15,0,101.11,3.06,0,0.77,2.3,0,0.77,0,0,176.94,1.53,0.77,0,1.53
120,0,0,0,0,101.91,0,1.96,0,1.96,0,1.96,27.44,0,9.8,41.16,0,58.79,0,0,3.92,27.44,0,0,15.68,0,58.79,3.92,0,0,1.96,0,0,0,0,68.59,0,0,0,0
