stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,23,0,0,1,0,0,2,0,0,0,0,0,0,7,0,8,23,0,0,0,1,1,2,1,8,2,0
 24-34,0.82,0,2.46,10.67,0,0,9.03,0,0.82,1.64,0,0,0,0,0,1.64,30.37,0,5.75,18.88,0,1.64,0,0,0,0,0,3.28,4.1,0
 36-46,0,0,0,0.81,0.81,0,8.06,0,0,0,0,0.81,0,0,1.61,1.61,5.64,0,0,11.28,0,0,0,0,0,0.81,0,0.81,0.81,0
 48-58,0,0,0,0,0,0,5.16,1.15,0,0,0,0,0,0.57,0,1.15,4.59,0,2.3,8.03,0,0.57,0,0,0,0,0,2.3,0.57,1.15
 60-70,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,4.91,0,0,10.8,0,0,0,0.98,0,0,0,2.94,1.96,0
 72-82,0,0,0,0.98,0,0,4.91,1.96,0,0,0,0,0,0.98,0,0,8.83,0.98,0,6.87,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,0,3.19,0,1.06,0,0,0,1.06,0,0,0,3.19,1.06,0,2.12,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,1.09,1.09,3.28,2.19,0,0,0,0,1.09,0,0,0,7.65,0,0,12.02,0,1.09,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0,2.3,0.77,0.77,0.77,0,0,0,0,0,0,3.83,0,0.77,5.36,0.77,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,7.84,0,0,11.76,0,1.96,0,0,0,0,0,0,0,0
