stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21,6,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,6.57,0,4.1,0,0.82,0.82,0,0,0.82,0,0,0,0.82,0,2.46,0,0,0.82,85.37,0.82,0,0.82,0,0.82,0,0,0,22.98,0,0,0.82,0,0.82
 36-46,0,4.03,0,3.22,0.81,0,8.06,0,0,0,0,0,0,0.81,0,4.03,0,0,0,145.02,0,0,1.61,0,0.81,0.81,0,0,37.87,0,0,0.81,0,0.81
 48-58,0,2.87,0,6.89,0,0,18.36,0,0,0,1.15,0,0,1.15,0,1.15,0,0,0.57,144.03,0,0,0,0,1.15,0,1.15,0,33.28,0,0,0,0,0.57
 60-70,0,2.94,0,23.56,0,0,16.69,0,0,0,0,0,0,0,0,3.93,0,0,0,242.44,0,0,0.98,0,0.98,0,0,0,33.37,0,0,0,0,0
 72-82,0,4.91,0,44.17,0,0.98,20.61,0,0,0,0,0.98,0.98,0,0.98,6.87,0,0,0,280.76,0,1.96,1.96,0,0,0,0.98,0,27.49,0.98,0.98,0,0,1.96
 84-94,0,12.74,1.06,42.48,0,0,18.05,0,0,0,1.06,0,0,0,0,4.25,1.06,2.12,2.12,157.18,0,1.06,3.19,0,2.12,0,4.25,0,21.24,0,0,0,0,0
 96-106,0,6.56,0,28.41,0,0,20.76,3.28,0,0,0,0,0,0,0,8.74,0,0,0,126.77,0,1.09,4.37,0,3.28,0,5.46,0,12.02,1.09,0,0,0,0
108-118,0,9.19,0.77,45.19,0.77,0,16.85,0,0,0,1.53,0,0,0.77,2.3,6.89,0,0,0,147.06,0,1.53,4.6,0,0,0,3.83,0,10.72,0.77,0.77,0.77,0.77,0
120,0,1.96,0,31.36,0,0,7.84,1.96,0,0,0,0,0,3.92,0,0,0,0,0,145.02,0,0,9.8,0,0,0,1.96,0,3.92,0,0,0,0,0
