stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,2.46,0,0,0,1.64,0,0,0,0,0,0,0,0,0,2.46,0,0,0,117.38,0.82,0,0,0,0,0,0,0,0,53.36,0,0,0.82,0,0
 36-46,0,0,4.03,1.61,0,0,14.5,0.81,0,0,7.25,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,668.71,0,0.81,0,0,0,1.61,0,0,0,171.61,0,0,0,0,0
 48-58,0,0,7.46,1.15,0,0,71.73,0,0.57,0,10.33,0,0,0,0,0,0,0,0.57,0.57,13.2,0,0,1.15,844.64,0.57,1.15,1.72,0.57,0,1.72,0,0,0,165.26,0,0,1.15,0,1.72
 60-70,0,0,2.94,3.93,0,0,216.92,0,0,0,16.69,0.98,0,0,0,0.98,0.98,0,0.98,0.98,6.87,0,0,1.96,1237.7,0,0,1.96,0,0,3.93,1.96,0.98,0,207.1,0,0.98,0.98,0,0.98
 72-82,0,0,12.76,3.93,1.96,0,302.35,0.98,0,0.98,41.23,0,0.98,0.98,0,0,0,0.98,0.98,0.98,28.47,0.98,0.98,0.98,1151.49,0,1.96,5.89,0,1.96,0.98,0,0,0,147.25,1.96,0,3.93,0,4.91
 84-94,0,0,9.56,8.5,2.12,0,177.36,0,0,1.06,21.24,2.12,0,1.06,0,0,0,2.12,0,0,16.99,0,1.06,1.06,602.18,0,0,2.12,0,0,0,0,0,0,66.91,1.06,0,3.19,3.19,1.06
 96-106,0,0,8.74,5.46,1.09,1.09,137.7,0,0,0,36.06,0,0,0,0,0,0,0,3.28,0,26.23,0,1.09,1.09,542.05,0,1.09,1.09,0,1.09,5.46,1.09,0,0,39.34,3.28,0,4.37,1.09,2.19
108-118,0,0,9.19,9.19,0.77,0.77,116.43,0,1.53,0,27.57,0,0,0,0.77,0,0,2.3,2.3,0.77,16.85,0.77,3.06,1.53,582.9,1.53,0,2.3,0,0,0.77,0,0.77,0,29.11,1.53,0,3.06,1.53,0
120,0,0,5.88,11.76,1.96,0,82.31,0,1.96,0,45.08,0,0,1.96,0,0,0,1.96,0,0,13.72,0,1.96,3.92,695.72,1.96,0,1.96,0,0,1.96,0,0,0,33.32,0,0,3.92,0,0
