stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,2.46,0,0,0.82,0,0,0,1.64,0,0,0,0,0.82,0,0,1.64,0,0,0,17.24,0.82,0,0,0.82,0,0.82,0.82,7.39,0,1.64,0
 36-46,0,0,0.81,0,0,3.22,0,0,0,0.81,0,0,0,0,0.81,0,0.81,2.42,0,0.81,0.81,34.64,0,0,0,1.61,0,0,0,3.22,0,2.42,1.61
 48-58,0,0,1.72,0,0,3.44,0,1.15,0,2.87,0,0,0,0,0.57,0,0,2.3,0,0,0.57,35.58,0,0,0,0.57,0,0,0,2.87,0,1.72,0
 60-70,0,0,4.91,0,0,9.82,0,0,0,5.89,0,0,0,0,0,0,0,10.8,0,0.98,2.94,54.97,0,0,0.98,0,0,0,0,1.96,0,0.98,0
 72-82,0,0.98,3.93,1.96,0,20.61,0,0,0,10.8,0,0,0,0,0,0,0,13.74,0,0,0,224.8,0,0,0,0.98,0,0,0,6.87,2.94,0,0
 84-94,0,0,0,3.19,0,21.24,0,0,1.06,18.05,0,0,1.06,0,0,1.06,1.06,2.12,1.06,0,0,138.06,0,0,1.06,2.12,1.06,0,0,2.12,0,3.19,1.06
 96-106,0,0,6.56,2.19,0,37.16,1.09,0,1.09,20.76,1.09,1.09,1.09,0,0,0,0,4.37,0,0,3.28,203.27,0,3.28,1.09,4.37,0,0,0,0,3.28,3.28,1.09
108-118,0,0,2.3,0,0.77,34.47,0.77,0,0,12.26,2.3,0,0.77,0.77,0,0.77,0,8.43,0.77,1.53,0,279.58,0,0,1.53,3.83,0,0,0,2.3,0.77,1.53,0
120,0,0,3.92,1.96,0,15.68,0,0,0,11.76,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,388.04,0,0,0,1.96,0,0,0,3.92,0,0,0
