stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,37.76,0,0,34.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,3,0,0,0,7,0,2,0,0,1,0,5,0,0,7,71,2,0,1,0,9,2,1,11,28,0,0,0
 24-34,0,0,0,0.82,0,5.75,0,0.82,0,3.28,0,0,0,0,0,0,7.39,0,0,0.82,55.82,0,0.82,0,4.1,0,0,0,0.82,13.95,0,0,0
 36-46,0,0,0,1.61,0,21.75,0.81,0,0,1.61,1.61,0,0,0.81,0,0,9.67,0,0,2.42,48.34,0,0,0,3.22,0,0,0,0,15.31,0,0,0
 48-58,0,0,0,0,0,22.95,0.57,0,0,3.44,0,0.57,0.57,0,0,1.15,5.16,0.57,0,1.72,27.54,1.15,0,0,4.59,0,1.15,1.15,0,8.03,0,0,0
 60-70,0,0,0,0,0,29.45,0.98,0,0,3.93,2.94,0,0,1.96,0,0.98,8.83,0,0,0.98,31.41,1.96,0,0,2.94,0,0.98,0,0,1.96,0,0.98,0
 72-82,0,0,0.98,0.98,0,17.67,0,0,0.98,6.87,2.94,0,0.98,0.98,0,0,14.72,0,0.98,0,25.52,4.91,0.98,0,1.96,0,1.96,0,0,3.93,0.98,1.96,0
 84-94,0,0,1.06,0,0,2.12,1.06,0,0,2.12,4.25,0,0,0,0,0,6.37,0,0,2.12,7.43,0,1.06,0,5.31,0,2.12,0,0,2.12,0,0,0
 96-106,0,0,2.19,0,0,9.84,0,0,0,4.37,1.09,0,0,1.09,1.09,0,5.46,0,2.19,3.28,15.3,3.28,0,0,6.56,0,2.19,0,0,2.19,1.09,0,2.19
108-118,0,0,0.77,2.3,0,6.89,0.77,0.77,0,5.36,3.06,0,0.77,0,0,0.77,11.49,0,0,0,13.02,0.77,0,0,7.66,0,0,0,0,0.77,2.3,0,0
120,0,0,0,0,1.96,17.64,3.92,1.96,1.96,1.96,15.68,0,0,0,0,0,3.92,0,0,0,11.76,1.96,1.96,0,17.64,0,0,0,0,0,1.96,0,0
