stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0,0,0,0,4.1,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,12.09,0,0,0,0,0,4.83,0
 48-58,0,0,0,0.57,0,6.89,0,0,0,0,0,0,0,0,26.97,0,0,0,0,0,4.02,0
 60-70,0,0,0,0,0,47.11,0,0,2.94,0,0,0,0.98,0,67.73,0,0,0,0,0,3.93,0
 72-82,0,0,0,1.96,0,59.88,0,0,4.91,0,0,0,3.93,0,69.7,0,0.98,0,0,0.98,7.85,0
 84-94,0,0,1.06,1.06,0,20.18,1.06,0,4.25,0,0,0,2.12,0,43.54,0,0,0,0,0,6.37,0
 96-106,0,0,1.09,2.19,1.09,38.25,0,1.09,9.84,0,0,1.09,2.19,0,34.97,0,0,0,2.19,0,2.19,0
108-118,0,0,0,0.77,1.53,44.43,0,0,9.96,1.53,0,0.77,6.89,0.77,41.36,0,0,0,0,0,2.3,0.77
120,0,0,0,0,1.96,33.32,0,0,5.88,0,1.96,1.96,0,0,62.71,1.96,0,0,0,0,3.92,0
