stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,496.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,44,0,0,0,0,0,0,3,1,1,18,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,13.13,0,1.64,0,4.93,0,1.64,0,0,0,0,0,3.28,0,0.82,232.3,1.64,4.93,0.82,0,0,0,0,0,0.82,57.46,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,20.95,0,0,0,18.53,0.81,0,0,0,0.81,0,0,3.22,0,0,360.94,0,7.25,0,0,0,0,0,0,0,108.77,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,44.18,0,0,0.57,76.32,0,0,0,0,2.3,0.57,0,14.92,0.57,0,472.82,0,2.3,0.57,0,0,0,0,0,0,96.4,0,0,1.72,0,0
 60-70,0.98,0,0,0,3.93,0,110.91,0,0,0,104.04,0,0,0.98,0,0.98,0,0.98,10.8,0,1.96,837.24,0,5.89,0.98,0,0.98,0,0,0.98,0,102.08,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,0,3.93,0,141.36,0,0,1.96,50.06,1.96,0,0,1.96,2.94,1.96,0,35.34,0,0.98,633.17,0,4.91,4.91,0,2.94,0,0,0,0,46.14,0,0,1.96,0,0
 84-94,0,0,0,0,10.62,0,87.09,0,0,2.12,52.04,0,0,0,0,1.06,0,0,15.93,0,3.19,300.56,0,4.25,4.25,0,0,0,0,0,0,26.55,0,2.12,3.19,0,0
 96-106,0,0,0,0,2.19,0,61.2,0,0,0,31.69,0,1.09,1.09,0,5.46,0,0,8.74,1.09,1.09,221.85,0,2.19,3.28,0,1.09,0,0,0,0,6.56,1.09,1.09,1.09,1.09,0
108-118,0,0,0,0,6.13,0.77,45.96,0.77,0.77,0,26.04,0,0,0.77,1.53,8.43,0,0.77,10.72,0.77,3.06,245.87,0,2.3,5.36,0,0.77,0,0,0,0,5.36,3.83,0,1.53,0,0
120,0,0,0,1.96,1.96,1.96,58.79,0,3.92,1.96,39.2,0,0,0,0,1.96,0,0,21.56,1.96,0,393.92,1.96,1.96,7.84,0,0,0,0,0,0,11.76,3.92,0,0,1.96,0
