stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,18.36,0,1.15,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,3.93,0,0,0,0,0,0,0,0,0,0,0,51.04,0,0,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,14.72,0,0,0.98,4.91,0,0,0.98,0.98,0,0,0,149.21,0,7.85,0,0,1.96,45.16,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,1.96
 84-94,0,0,4.25,3.19,0,6.37,0,1.06,0,3.19,3.19,0,0,1.06,2.12,0,0,498.1,0,6.37,0,1.06,1.06,29.74,0,0,1.06,0,0,5.31,0,0,0,1.06,1.06,0,0,0,2.12
 96-106,0,0,20.76,10.93,3.28,41.53,0,4.37,1.09,21.86,6.56,0,1.09,9.84,1.09,3.28,1.09,773.74,0,27.32,0,0,2.19,173.76,2.19,1.09,1.09,0,1.09,27.32,0,0,1.09,2.19,0,1.09,14.21,7.65,1.09
108-118,0,0,9.19,6.89,6.13,42.13,1.53,3.83,0.77,16.09,3.06,0,0,2.3,1.53,0.77,2.3,1473.71,1.53,45.19,0.77,0.77,4.6,177.7,2.3,1.53,3.83,0,0,19.15,0,0.77,0.77,3.06,0.77,0.77,2.3,2.3,3.06
120,0,0,15.68,13.72,0,31.36,1.96,1.96,1.96,13.72,5.88,1.96,0,1.96,1.96,0,0,791.75,0,33.32,0,0,7.84,121.51,1.96,3.92,0,0,1.96,3.92,0,0,0,0,0,0,3.92,0,1.96
