stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,1291.44,19371.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.68,0,0,0,0,0,0
  5-6,1035.91,10346.82,18.39,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,183.89,24.52,0,0,24.52,257.44,0,0,0,0,0,0
  7-9,18.4,7.89,13.14,0,0,0,15.77,0,0,0,0,10.51,0,0,0,0,0,0,0,412.71,23.66,0,0,110.41,2.63,31.54,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,47.2,0,0,0,28.32,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,6,1,0,0,0,3,1,2,1,8,0,0
 24-34,0,0,0,2.46,0,0,3.28,0.82,0,0,0,0,0,0,0,0,0.82,10.67,1.64,6.57,0,1.64,0,0,13.95,0,0,0,13.13,0.82,0.82
 36-46,0,0,0,0,0,0,8.06,0.81,0,0,1.61,0,0,0,0,0.81,0,8.86,0,9.67,0,1.61,0.81,0,6.45,0.81,0,0,8.06,0,0
 48-58,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,1.15,0,0,6.89,0,4.02,0,0.57,0,0,5.74,0,0,0,1.15,0.57,0
 60-70,0,0,0,0,0,0,14.72,0,0,0,0,0,0,0,13.74,0,0,0.98,0,1.96,0,0,0,0,5.89,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,9.82,0,0,0.98,0,0,0,0,21.6,0,0,5.89,0.98,5.89,0,2.94,0.98,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,23.36,1.06,0,0,0,0,1.06,1.06,13.81,0,0,3.19,0,4.25,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,4.37,0,1.09,0,0,0,0,0,5.46,0,0,3.28,0,1.09,0,3.28,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0,0.77,3.83,0.77,0,0.77,0,0,0,0,4.6,1.53,0,2.3,0,6.13,0,0,0,0,2.3,1.53,0,0,0,0,4.6
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92
