stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0.81,5.64,0.81,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,0,0.57,3.44,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,1.96,7.85,0,0.98,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,0,2.94,0,0,1.96,0,0,0,0.98,6.87,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,7.43,0,0,1.06,0,0,0,5.31,2.12,0,0,0,0,0,0,0,3.19
 96-106,0,0,1.09,0,2.19,0,1.09,2.19,0,0,0,2.19,2.19,0,0,0,0,0,0,2.19,2.19
108-118,0,0,0.77,0,3.06,0,0,7.66,0,0,0.77,0.77,6.13,0,0.77,0,0.77,0,0,3.83,0.77
120,0,0,0,0,3.92,1.96,0,11.76,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0
