stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1752.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,1391.43,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,7.89,0,26.29,0,0,0,44.69,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,331.22,15.77,0,0,102.52,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,0,0,28.32,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,223.43,12.59,0,0,116.44,3.15,6.29,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,9,5,0,5,0,0,0,6,0,0,1,0,0,0,0,3,0,7,0,0,7,73,0,0,1,3,3,2,14,1,1,8,26,0,2,0,0
 24-34,0,0,0,0,3.28,0,0,8.21,0,0,0,0.82,0.82,0,0,0,0.82,0,0.82,0.82,0,6.57,0,0,5.75,116.56,0.82,1.64,0.82,0,5.75,0,0,0.82,0,1.64,17.24,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0.81,0,20.95,0,0.81,0.81,4.03,0,0,0.81,0,0,0,0,0,0,10.47,1.61,0.81,1.61,100.71,1.61,0,0,0,2.42,0,0,0,0,0.81,28.2,0,2.42,0,0
 48-58,0,0,0,0,0,0.57,0,29.84,0.57,0,0.57,5.16,0,0,0,0,0,0,0,0.57,0,10.33,0,0,1.72,56.81,0,0,0,0,1.15,0,0,0,0,0,16.07,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,26.5,0,0,0,4.91,0,0,0,0,0,0,0,0,0,7.85,0,0,0.98,49.08,0,0,0,0,0.98,0,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,27.49,0,0,0,5.89,0,0,0,0.98,0,0,0,0,0,14.72,0,0.98,1.96,53.01,0,2.94,0,0,0,0,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,0,1.06,2.12,0,16.99,0,0,1.06,2.12,0,1.06,0,2.12,0,0,0,1.06,0,10.62,0,1.06,2.12,26.55,0,0,0,0,4.25,0,0,0,1.06,0,1.06,1.06,3.19,0,0
 96-106,0,0,0,0,2.19,2.19,0,12.02,0,0,0,5.46,1.09,0,0,1.09,1.09,0,1.09,0,0,13.11,0,0,1.09,22.95,0,2.19,1.09,0,1.09,0,0,0,0,0,2.19,0,1.09,1.09,1.09
108-118,0,0,0.77,0,4.6,3.06,0.77,7.66,0,0.77,0.77,2.3,1.53,0,0,0.77,0.77,0.77,0,0,1.53,5.36,0,0.77,4.6,32.17,0,0.77,0.77,0,3.83,0,0,0.77,0.77,0,0,0,3.06,0,0
120,0,0,0,0,5.88,0,0,3.92,0,0,1.96,1.96,1.96,0,0,1.96,1.96,0,0,1.96,0,1.96,1.96,0,3.92,15.68,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
