stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.75,10.51,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,147.91,6.29,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,37,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,4,120,2,0,7,0,0,1,1,8,0,2,72,0,0,0,0,0
 24-34,0,0,2.46,0.82,3.28,2.46,0,4.1,0,0,3.28,0,0,1.64,1.64,0.82,0,0,0.82,1.64,16.42,0,0,1.64,238.87,0,1.64,8.21,0,0,0.82,0,13.13,0,1.64,60.74,0,0,2.46,0,0.82
 36-46,0,0,0,0.81,4.03,0.81,0,11.28,0,0.81,6.45,0,0.81,0,3.22,0,0,1.61,0,4.83,21.75,0,0,0.81,396.39,0.81,2.42,3.22,0,0,0.81,0,6.45,0,0,78.96,0,0,1.61,0,6.45
 48-58,0,0,1.15,0.57,1.72,0.57,0,91.23,0.57,1.15,12.05,0,0.57,1.15,8.03,0,1.72,1.15,0.57,4.59,19.51,0.57,0.57,1.15,449.86,0,2.3,8.61,0,0,0.57,0,1.72,0,0,83.2,0,1.15,3.44,0,9.75
 60-70,0,0,0.98,0,6.87,0.98,0,256.18,0,1.96,31.41,0.98,0,1.96,10.8,0,1.96,3.93,1.96,2.94,46.13,0.98,0,2.94,718.47,0,5.89,13.74,0,0.98,1.96,0,0.98,0,0,83.43,2.94,0,2.94,0,9.82
 72-82,0,0,0.98,0,12.76,0.98,0,288.61,1.96,3.93,76.57,0,1.96,1.96,26.5,0.98,5.89,0,0.98,7.85,53.01,0.98,0,0.98,540.9,0,4.91,18.65,0,0,1.96,0,2.94,0,0,54.97,8.83,0.98,3.93,2.94,15.71
 84-94,0,0,0,0,10.62,4.25,0,179.48,2.12,2.12,60.54,2.12,2.12,1.06,18.05,0,14.87,3.19,1.06,12.74,53.1,2.12,1.06,1.06,276.13,0,4.25,22.3,0,0,2.12,0,1.06,0,0,30.8,9.56,1.06,4.25,0,10.62
 96-106,0,0,1.09,0,10.93,2.19,0,156.28,2.19,5.46,74.31,7.65,0,0,22.95,1.09,21.86,1.09,1.09,7.65,50.27,3.28,2.19,2.19,246.98,0,2.19,45.9,0,0,4.37,0,0,0,0,20.76,5.46,4.37,2.19,0,9.84
108-118,0,0,0.77,0,16.09,6.89,0.77,108.77,2.3,0.77,78.13,7.66,0,0,17.62,2.3,39.83,1.53,2.3,17.62,63.57,0,0.77,1.53,242.04,0.77,4.6,46.72,0,0.77,4.6,0,3.83,0,0,15.32,9.96,6.13,6.13,1.53,25.28
120,0,0,1.96,0,25.48,5.88,0,74.47,3.92,0,80.35,13.72,0,0,27.44,0,35.28,3.92,0,3.92,45.08,1.96,0,7.84,341,0,3.92,45.08,0,0,5.88,0,5.88,1.96,0,21.56,11.76,5.88,3.92,1.96,11.76
