stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,12,0,0,0,0,0,1,1,0,0,1,31,0,0,0,0,0
 24-34,0,0.82,2.46,0,0,13.13,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,529.45,2.46,14.78,0,0,0,0,0,0,0,0,0,143.65,0,0,0,0,0
 36-46,0,2.42,1.61,0,0,33.84,0,0.81,0,4.03,0,0,0,0,0,0,0,0,0.81,3.22,0.81,0.81,1.61,1034.48,0.81,14.5,1.61,0,0,0.81,0,0,0,0,0,178.86,0,0,0.81,0,0
 48-58,0,0,3.44,1.72,0,247.88,0,1.15,0,17.79,0,0,0,1.15,0,0,0,0,0.57,14.35,0,0.57,2.3,1555.01,0.57,9.18,0.57,0,0,1.72,0.57,0,0.57,1.15,0,266.25,0,0,1.72,0,1.72
 60-70,0,0.98,5.89,1.96,0,923.61,0.98,0,0.98,25.52,0,0.98,0,0,0.98,1.96,0.98,0,0,26.5,0,0,1.96,2392.95,0,13.74,1.96,0,0,0.98,0,0,0,0,0,298.38,0,0,0.98,0,0.98
 72-82,0,2.94,16.69,4.91,0,1419.48,0,0,3.93,81.48,1.96,0,0,4.91,0,0.98,0,2.94,0.98,32.39,0,0,1.96,2760.43,1.96,26.5,7.85,0,0,5.89,0,0,0.98,0,0,233.64,1.96,0.98,6.87,0,1.96
 84-94,0,3.19,19.12,2.12,1.06,876.18,1.06,1.06,0,64.78,1.06,0,1.06,1.06,0,4.25,0,0,0,30.8,0,4.25,4.25,1340.29,0,15.93,3.19,0,0,2.12,0,0,0,1.06,0,117.89,1.06,3.19,2.12,2.12,1.06
 96-106,0,1.09,19.67,5.46,0,726.74,1.09,4.37,2.19,68.85,2.19,0,0,3.28,1.09,1.09,2.19,4.37,0,32.79,0,1.09,1.09,1228.36,2.19,20.76,8.74,0,1.09,8.74,0,0,0,0,0,74.31,1.09,2.19,1.09,2.19,3.28
108-118,0,0.77,19.15,3.83,0.77,560.68,0,0,1.53,64.34,1.53,0,0,1.53,0.77,1.53,0,2.3,0,19.92,0,0,3.06,1434.65,0,23.74,3.83,0,0,4.6,0,0,1.53,0,0,44.43,2.3,0.77,1.53,2.3,0
120,0,1.96,31.36,5.88,0,493.87,1.96,1.96,3.92,62.71,1.96,0,0,5.88,0,0,1.96,3.92,1.96,33.32,1.96,0,3.92,1916.67,5.88,25.48,13.72,0,3.92,9.8,0,0,0,0,0,101.91,0,0,3.92,0,1.96
