stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,63.09,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,3.15,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,0.82,3.28,0,0,0.82,3.28,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,0,0,0,4.02,0.57,0,0.57,1.72,0,0.57,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,8.83,1.96,0,0,2.94,0,0.98,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,2.19,1.09,0,0,0,0,4.37,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,2.19
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,1.53,1.53,0.77,0,1.53,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
