stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,4,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,3.28,0,2.46,4.93,0,0.82,18.06,0.82,0,0,0,0.82,0.82,0,15.6,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,2.42,0,0,34.64,0,0,0,0,0,0,0,5.64,0.81
 48-58,0,0,0.57,0,1.15,0,0,0.57,0.57,0,0,0.57,0.57,0.57,3.44,0,0,58.53,0.57,0,0,0,0,5.74,0,8.03,0
 60-70,0,0,0,0,2.94,0,0.98,0.98,0,0,0,0,0,0,2.94,0,0,89.32,0,0,0,0,0,2.94,0,3.93,0
 72-82,0,0,0.98,0,6.87,0,0,4.91,0,0,0,1.96,0,0,10.8,0.98,0,84.42,0,0,0,0,0,1.96,0.98,6.87,0.98
 84-94,0,0,3.19,1.06,7.43,1.06,0,3.19,0,0,0,3.19,0,2.12,19.12,0,0,45.67,1.06,0,0,0,1.06,1.06,1.06,5.31,0
 96-106,0,1.09,1.09,0,4.37,0,0,2.19,0,0,1.09,9.84,2.19,0,10.93,0,1.09,40.44,0,0,0,0,2.19,1.09,1.09,8.74,0
108-118,0,0,2.3,0.77,2.3,0.77,0,1.53,0.77,0,0.77,8.43,0,0,11.49,0,0,36.77,0,0,0,0.77,2.3,1.53,0,8.43,0
120,0,0,1.96,0,15.68,0,0,5.88,0,0,0,9.8,0,0,7.84,0,1.96,50.95,0,0,0,0,0,0,0,11.76,0
