stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,1,26,29,3,0,2,0,0,0,24,19,1,0,1,0,0,0,0,15,0,37,103,3,3,0,0,0,7,4,65,0,15,277,0,0,0,0,0
 24-34,0,0,1.64,24.63,27.91,0,0,12.31,0.82,1.64,2.46,57.46,17.24,3.28,2.46,0.82,0,0.82,6.57,2.46,96.04,0,151.04,553.26,20.52,7.39,2.46,0,0.82,17.24,0,68.95,9.85,27.09,688.7,0,0,11.49,0,4.1
 36-46,0,0,0.81,3.22,4.03,0,0,15.31,1.61,0.81,3.22,33.03,12.09,0.81,3.22,2.42,3.22,1.61,5.64,0.81,132.94,1.61,78.15,574.44,23.36,7.25,0.81,0,0,11.28,0,28.2,0.81,0,475.34,0,0,11.28,0,1.61
 48-58,0,0,0.57,1.15,6.89,0,0,50.49,8.03,1.15,5.74,45.33,8.61,0.57,5.16,1.15,5.74,0.57,1.72,1.15,164.68,2.87,51.07,629.46,4.59,11.48,2.87,0.57,0.57,8.03,0,18.36,2.3,1.15,226.65,0,0.57,13.77,0,1.15
 60-70,0,0,0.98,0.98,11.78,0,0,91.28,6.87,3.93,9.82,34.35,15.7,0.98,14.72,0.98,6.87,0,0.98,0.98,121.71,2.94,25.52,778.35,0.98,11.78,3.93,0,0.98,11.78,0,22.58,1.96,0,66.74,0.98,2.94,9.82,0,2.94
 72-82,0,0,5.89,0,9.82,1.96,0,118.78,1.96,1.96,9.82,46.14,15.71,0,36.32,0.98,7.85,1.96,3.93,0,121.73,7.85,16.69,755.88,0,10.8,1.96,0,0,8.83,0,24.54,0.98,0,53.01,1.96,4.91,18.65,4.91,1.96
 84-94,0,0,1.06,1.06,13.81,8.5,0,81.78,2.12,3.19,2.12,37.17,28.68,3.19,30.8,1.06,12.74,1.06,4.25,0,78.59,4.25,20.18,347.29,0,11.68,1.06,0,0,23.36,0,46.73,0,0,27.61,3.19,5.31,10.62,4.25,0
 96-106,0,0,2.19,0,1.09,0,0,52.46,1.09,1.09,2.19,18.58,7.65,2.19,45.9,0,9.84,2.19,3.28,0,62.29,3.28,8.74,297.25,2.19,9.84,6.56,0,1.09,16.39,0,19.67,0,0,10.93,2.19,2.19,13.11,4.37,0
108-118,0,0,1.53,0,7.66,3.83,5.36,53.62,0,0,3.06,26.81,4.6,1.53,37.53,0,11.49,0,2.3,3.06,42.13,0.77,9.19,325.53,0.77,13.79,1.53,0,0,8.43,0,14.55,0,0,9.19,0.77,0.77,10.72,0.77,0.77
120,0,0,1.96,0,5.88,5.88,0,47.03,0,0,1.96,21.56,9.8,1.96,62.71,0,7.84,1.96,0,1.96,29.4,3.92,9.8,480.15,1.96,19.6,7.84,0,3.92,13.72,0,15.68,0,0,11.76,0,0,15.68,1.96,0
