stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0.81,0,0,0,4.03,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,2.87,0,0,7.46,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.94,0.98,0,7.85,0,0.98,8.83,0,0.98,0,0,0,0
 72-82,1.96,0.98,3.93,0,0,2.94,0,0,0,0.98,15.71,0.98,1.96,15.71,0,0,15.71,0,2.94,0,0.98,0,0
 84-94,1.06,0,2.12,0,0,4.25,0,0,0,0,8.5,0,0,5.31,0,0,31.86,1.06,1.06,0,0,0,0
 96-106,7.65,0,6.56,1.09,0,4.37,0,0,1.09,2.19,16.39,0,0,15.3,1.09,0,31.69,1.09,1.09,1.09,1.09,2.19,2.19
108-118,1.53,0.77,3.83,3.06,0.77,3.06,0,0.77,0.77,0.77,9.96,0,0.77,21.45,0,0,40.6,2.3,0.77,0,0,0,0
120,3.92,0,7.84,0,0,9.8,1.96,1.96,0,0,1.96,0,0,5.88,0,0,19.6,0,0,0,0,0,0
