stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,54,5,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,2,23,0,1,2,0,0,0,0,2,0,8,0,0,1,0,1
 24-34,0,0,0,51.71,3.28,0,19.7,0,4.93,0,4.1,0.82,0,0,3.28,0,0,4.1,0,0,9.85,0.82,0,0,78.8,0,19.7,3.28,0,0,1.64,0,0.82,0,9.03,0,0,4.1,0,6.57
 36-46,0,0,0,15.31,2.42,0,23.36,0,1.61,0,4.03,1.61,0,0.81,2.42,0,0,1.61,0,0,6.45,0.81,7.25,3.22,111.18,0,17.72,4.03,0,0,0.81,0,0.81,2.42,12.09,0,0,5.64,0.81,0
 48-58,0,0,0,22.38,5.16,0,98.69,0,6.31,2.3,12.05,0,0,0.57,6.31,0,0,1.15,0,0,17.21,0,13.77,2.87,111.89,0.57,13.77,3.44,0,0,11.48,0,0,3.44,8.61,0,3.44,4.59,0.57,1.15
 60-70,0,0,0.98,14.72,6.87,0,489.78,0,3.93,0,11.78,0,0,0,10.8,0,0.98,3.93,0,0,47.11,0,22.58,3.93,175.69,0,17.67,2.94,0,5.89,7.85,0,0.98,1.96,26.5,1.96,15.7,5.89,3.93,0.98
 72-82,0,0,0,34.36,16.69,0,1154.43,0,2.94,1.96,48.1,1.96,1.96,2.94,75.59,2.94,3.93,6.87,1.96,0,62.83,0.98,39.27,5.89,333.77,0.98,31.41,1.96,0,9.82,2.94,0,0,0.98,25.52,20.61,20.61,22.58,29.45,1.96
 84-94,0,2.12,0,52.04,13.81,1.06,1076.91,0,3.19,1.06,30.8,8.5,1.06,0,65.85,3.19,2.12,11.68,0,1.06,38.23,1.06,44.61,2.12,195.41,0,31.86,4.25,0,5.31,5.31,1.06,5.31,2.12,26.55,67.97,18.05,10.62,21.24,0
 96-106,0,2.19,0,59.01,30.6,3.28,1088.48,3.28,8.74,0,54.64,4.37,0,2.19,119.12,3.28,3.28,6.56,5.46,0,53.55,1.09,38.25,8.74,220.76,2.19,62.29,5.46,0,20.76,16.39,1.09,3.28,2.19,20.76,93.98,17.49,25.14,22.95,4.37
108-118,0.77,1.53,0.77,42.13,12.26,1.53,814.98,0,5.36,2.3,43.66,8.43,0,0.77,125.62,3.83,6.13,7.66,1.53,0.77,38.3,1.53,26.04,3.83,324.77,1.53,43.66,5.36,0,13.02,6.13,0,0.77,0,19.92,106.47,13.79,18.38,12.26,0.77
120,0,0,0,43.12,23.52,0,876.02,1.96,9.8,1.96,27.44,7.84,0,1.96,131.31,5.88,3.92,3.92,0,0,35.28,0,29.4,3.92,360.6,3.92,29.4,7.84,0,11.76,5.88,0,0,0,21.56,43.12,19.6,25.48,11.76,0
