stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,2767.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2887.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,0,0,0,24.52,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,68.35,0,81.49,0,2.63,0,218.18,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,1850.61,23.66,0,0,785.99,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,3.15,62.94,0,44.06,0,6.29,0,94.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.68,9.44,0,0,371.34,0,0,3.15,0,34.62,0,3.15,0,0,0,0,0
 14-21,0,0,0,9,34,4,0,41,0,0,0,6,0,0,0,0,3,0,0,0,23,0,0,14,453,3,2,2,10,0,10,2,20,0,11,126,0,0,0,0,0
 24-34,0,0,0,0.82,13.13,7.39,0,210.96,0,0.82,0,7.39,0,0,2.46,0.82,3.28,2.46,1.64,2.46,62.39,0,0,27.09,900.48,1.64,4.93,4.93,0.82,0,23.8,0,0,0.82,2.46,155.14,0,0,6.57,0,2.46
 36-46,0,0,0,0.81,10.47,0,0,151.47,0,0.81,1.61,12.09,0,0,0.81,0,0.81,1.61,0,0,44.31,0,1.61,9.67,332.74,0,3.22,0.81,0,0,4.83,0,0,0,0,57.2,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0.57,0,114.76,0,2.87,0.57,9.75,1.72,0,0.57,0.57,0.57,0.57,1.72,0,31.56,0,0,9.18,115.91,0.57,1.15,1.15,0,0,0.57,0,0,0,0,16.07,0,0,5.74,0,0.57
 60-70,0,0,0,0,7.85,0,0,72.63,0,0,0.98,15.7,0.98,0,0,0.98,0,0.98,0.98,0,26.5,0,0.98,0.98,85.39,0,2.94,0,0,0,4.91,0,0,0,0,0,0.98,0,2.94,0,0
 72-82,0,0,0,0,9.82,0,0,37.3,0.98,0,0.98,19.63,0.98,0,0,0.98,0.98,0.98,0.98,0,50.06,0.98,0.98,12.76,76.57,0,0,0.98,0,0,1.96,0,0,0,0,1.96,0,0.98,1.96,0,0.98
 84-94,0,0,0,0,8.5,1.06,0,30.8,0,0,1.06,9.56,2.12,0,0,2.12,1.06,0,1.06,2.12,31.86,1.06,1.06,9.56,39.3,0,1.06,1.06,0,1.06,3.19,0,0,0,0,1.06,0,0,5.31,1.06,0
 96-106,0,0,0,0,9.84,3.28,0,24.04,0,0,0,13.11,2.19,0,0,8.74,0,1.09,0,1.09,18.58,0,0,3.28,42.62,0,1.09,4.37,0,1.09,0,0,0,0,0,0,0,0,5.46,0,0
108-118,0,0,0,0,9.19,2.3,1.53,36.77,0.77,0,0.77,21.45,0.77,0,0,6.13,1.53,0.77,1.53,4.6,29.11,0,0,6.89,66.64,1.53,0,2.3,0,0.77,6.89,0,0,1.53,0,1.53,2.3,0,3.83,0,0
120,0,0,1.96,0,13.72,7.84,0,52.91,0,0,3.92,41.16,0,0,0,13.72,0,1.96,0,1.96,39.2,0,3.92,21.56,160.7,1.96,3.92,5.88,0,0,3.92,0,0,0,0,3.92,0,0,9.8,0,0
