stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,somites,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
 24-34,0,0,0,2.46,0,0.82,0,0.82,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0.98,0,0,0,4.91,0,0.98,0,0.98,0,9.82,0,0,0,0,0,0,0,3.93,1.96,0
 84-94,0,0,0,1.06,0,0,1.06,0,0,5.31,0,1.06,0,2.12,1.06,7.43,0,1.06,0,0,1.06,0,2.12,0,0,0
 96-106,0,1.09,0,0,0,1.09,1.09,0,0,15.3,1.09,1.09,2.19,0,0,14.21,0,1.09,0,1.09,0,0,1.09,4.37,0,0
108-118,0,0,0,0,3.06,1.53,0,0.77,0,19.92,0.77,1.53,0,0.77,0,9.19,0,0.77,0,0.77,0,0,0.77,2.3,0,0
120,0,0,0,3.92,0,1.96,0,0,0,11.76,0,0,0,0,0,9.8,0,1.96,0,5.88,0,0,1.96,0,0,0
