stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,25,28,0,0,0,0,0,0,1,31,2,1,0,0,0,0,113,0,24,22,0,0,0,1,0,1,0,3,0,0,3,1,0,0,1,0
 24-34,0,0,0,0,7.39,7.39,0.82,0,0,0,0,0.82,0,33.66,5.75,0,0.82,0,1.64,0,27.09,0,8.21,11.49,0,0,0,0,0,0.82,0,0,0.82,0,0,6.57,0,0,0,0
 36-46,0,0,0,0,2.42,0.81,0,0,0.81,0,0,0,0,24.17,0,0,0,0,0,0.81,6.45,0.81,0.81,7.25,0,0,0.81,0.81,0,0,0.81,0.81,0,0,0,1.61,0,0.81,0.81,0
 48-58,0,0,0,0,2.87,0,2.87,0,0.57,0,0,0,0,16.64,0,0,0,0,0,0,4.59,0.57,0.57,9.18,0,0,0,0,0,0.57,0,0,0,0.57,0,1.72,0,1.72,0.57,0
 60-70,0,0,0,0,5.89,0,3.93,3.93,0,0.98,0.98,0,0,18.65,0,0,0,1.96,0,0,0.98,0,0.98,8.83,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,7.85,1.96,0
 72-82,0,0,0,0,6.87,0,10.8,7.85,0,0,1.96,1.96,0,24.54,0,0.98,0,2.94,0,0,4.91,0.98,2.94,15.71,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98,11.78,1.96,0
 84-94,0,0,1.06,0,7.43,0,2.12,11.68,0,0,4.25,2.12,0,16.99,0,0,0,3.19,0,0,5.31,2.12,3.19,3.19,0,0,0,0,0,1.06,0,0,0,0,0,0,0,6.37,1.06,0
 96-106,0,0,0,0,14.21,1.09,2.19,16.39,3.28,0,0,2.19,0,29.51,0,2.19,0,5.46,1.09,0,6.56,0,1.09,13.11,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,8.74,1.09,3.28
108-118,0,0,0,0,13.79,0,6.13,15.32,3.83,0,0,2.3,0,22.21,0.77,1.53,0,2.3,1.53,0,5.36,0,0,13.02,0,1.53,0,0,0,2.3,0,0,0,0,0,0,0,10.72,0.77,1.53
120,0,0,0,0,19.6,1.96,3.92,9.8,0,0,0,5.88,0,23.52,0,3.92,0,7.84,1.96,0,1.96,0,0,15.68,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,5.88,0,0
