stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,35.3,0.82,0,0.82,0,0,0,0,0,5.75,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,4.03,0,0,0,0,0,0,0,48.34,0,0,0.81,0,0,0,0.81,0,24.17,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,5.74,0,7.46,0.57,0,0,0.57,2.87,0,0,23.53,0,0,0,0,0,0.57,0,0,12.05,0,0,0,0,0
 60-70,0,0,0,0,0,8.83,0.98,13.74,0.98,0,0.98,0,12.76,0,0,21.59,0,0,0,0,0,0,0,0.98,5.89,0,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,16.69,0.98,21.6,3.93,0,0.98,0.98,11.78,0.98,0,49.08,0,0,2.94,0,0.98,0,0,0,8.83,0,0,2.94,0,0
 84-94,0,0,0,0,0,13.81,0,8.5,2.12,2.12,1.06,2.12,6.37,0,0,21.24,0,0,5.31,0,0,0,4.25,0,7.43,0,0,2.12,0,0
 96-106,0,0,1.09,0,0,14.21,0,17.49,1.09,0,1.09,4.37,12.02,0,0,38.25,0,1.09,10.93,0,0,1.09,8.74,0,4.37,0,2.19,1.09,1.09,0
108-118,0,0,0,0,2.3,17.62,2.3,19.15,2.3,1.53,3.06,26.81,16.09,0,0.77,42.13,1.53,0,3.83,0,0,0,6.13,0,5.36,3.06,0.77,0,0,0
120,0,0,0,0,3.92,5.88,0,5.88,3.92,0,0,13.72,9.8,0,0,52.91,0,0,1.96,0,0,0,9.8,0,3.92,0,1.96,1.96,0,0
