stage,axial,blastomeres,eye,gut,hatching_gland,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  3-4,0,158.14,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,6.13,0,0
  7-9,2.63,0,0,0,2.63,0,13.14,0,0
 10-12,0,0,3.15,0,0,0,6.29,9.44,0
 24-34,0,0,0,0,0,0.82,0,0,1.64
 36-46,0,0,0,0,0,0,0.81,0,4.03
 48-58,0,0,0,0,0,0,5.74,0,6.89
 60-70,0,0,0,0.98,0,0,5.89,0,8.83
 72-82,0,0,0,0,0,0,6.87,0,6.87
 84-94,0,0,0,0,0,2.12,4.25,0,1.06
 96-106,0,0,1.09,0,0,0,3.28,0,1.09
108-118,0,0,0,0,0,0,3.06,0,1.53
120,0,0,0,0,0,0,1.96,0,0
