stage,epidermis,eye,glial,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,neural,notochord,otic,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,8.86,0,0
 48-58,0,0,0,0,0,0,0,0,0,4.02,0,0,0,19.51,0,0
 60-70,0,0,0,0.98,0,0,0,0.98,0,6.87,0,0.98,0,18.65,0,0
 72-82,0,0,0.98,0,0,0,0,1.96,0.98,9.82,0,3.93,0,7.85,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,6.37,0,0
 96-106,0,1.09,1.09,0,0,0,1.09,0,0,12.02,0,2.19,0,1.09,0,0
108-118,0.77,0,1.53,0,0.77,0,2.3,2.3,0,7.66,0,2.3,0,0,0.77,0.77
120,0,0,0,0,0,1.96,1.96,0,0,3.92,0,0,0,3.92,0,0
