stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,147.11,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,7,43,0,0,0,0,0,0,0,6,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,3.28,0.82,0,0.82,0,1.64,0,0,1.64,0,0,3.28,1.64,0.82,0,0,0,0,0,5.75,2.46,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,1.61,2.42,0,0,1.61,3.22,0,0.81,0.81,3.22,0,0,6.45,1.61,4.03,0.81,0,0,0,0,0.81,1.61,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,10.33,0,0.57,0.57,0,4.02,0,1.72,0,0.57,0,0.57,0.57,2.87,0,0,5.16,0.57,0,1.15,0,0,0,0,0.57,2.3,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,123.67,0,0,0.98,4.91,3.93,0,1.96,0,4.91,1.96,1.96,0.98,6.87,0.98,0,6.87,0.98,1.96,3.93,0,0,0.98,0,1.96,4.91,0,0,1.96,0,0.98
 72-82,0,0,7.85,0,0.98,0,0,276.83,0,0.98,2.94,24.54,0,0,5.89,0,6.87,5.89,1.96,5.89,4.91,0,0,20.61,0,0.98,6.87,0,1.96,0,0,5.89,0,0.98,1.96,0,5.89,0
 84-94,0,0,5.31,0,3.19,0,0,282.5,0,0,1.06,32.92,3.19,0,9.56,0,8.5,10.62,3.19,3.19,7.43,0,0,7.43,0,5.31,23.36,0,0,1.06,0,9.56,1.06,4.25,1.06,1.06,3.19,0
 96-106,0,0,6.56,0,4.37,2.19,0,208.73,1.09,0,3.28,44.81,0,0,5.46,0,7.65,12.02,6.56,4.37,6.56,1.09,1.09,26.23,3.28,2.19,33.88,0,1.09,1.09,0,9.84,1.09,4.37,1.09,3.28,6.56,2.19
108-118,0,0,3.83,0,10.72,0,1.53,159.32,0,0.77,2.3,50.55,0,0.77,6.13,1.53,21.45,11.49,18.38,3.83,3.83,1.53,0.77,32.94,0,2.3,19.92,0,0,1.53,0,9.96,0.77,5.36,1.53,6.89,2.3,0.77
120,0,0,0,0,5.88,1.96,0,137.18,0,0,0,35.28,0,0,3.92,0,7.84,9.8,9.8,0,5.88,0,1.96,29.4,0,5.88,21.56,0,0,0,0,5.88,3.92,5.88,0,1.96,0,0
