stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,129.03,3.15,0,0,25.18,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,9,5,0,3,0,0,108,0,1,1,0,0,0,0,0,12,0,4,92,1,5,20,7,0,0,3,88,2,338,0,0,0,0,0
 24-34,0,0,1.64,0,2.46,0,0,6.57,0,1.64,127.23,0.82,0,0,0,0,0,0,0,8.21,0,0.82,155.96,3.28,42.68,6.57,0,0,0,0,37.76,4.93,277.45,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,7.25,0,0,78.15,0.81,0,0,0,0,0.81,0,0,3.22,0,2.42,163.55,0,48.34,4.03,0,0.81,0,0,20.14,0,212.7,0,0,0,0,0
 48-58,0,0,0,0,2.3,0.57,0,18.94,0.57,1.15,63.12,0,0,0,0,0,0,2.87,0,7.46,0,1.15,98.69,0,36.15,4.59,0,0.57,0,0,5.74,0,148.62,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,0,15.7,0,1.96,62.82,1.96,0,0,0,0,0,7.85,0,6.87,0.98,0,87.36,0,44.17,9.82,0,0,0,0,4.91,0,58.89,0,0,0,0,0.98
 72-82,0,0,7.85,0,0,0,0,13.74,0,0,78.53,4.91,0,0,0,0,0.98,14.72,0,4.91,0,0,69.7,0,77.55,22.58,0,0,0,0,6.87,0,38.28,0.98,0,0,0.98,0.98
 84-94,0,0,6.37,1.06,4.25,0,0,14.87,0,0,48.85,1.06,0,0,0,0,0,15.93,0,5.31,0,2.12,57.35,0,66.91,32.92,0,0,1.06,0,10.62,0,41.42,0,0,0,1.06,0
 96-106,0,0,4.37,4.37,2.19,0,0,17.49,0,1.09,38.25,3.28,0,0,2.19,1.09,0,33.88,0,5.46,0,0,56.83,0,95.08,44.81,0,1.09,0,0,7.65,0,33.88,0,0,0,0,0
108-118,0,0,2.3,2.3,3.83,0.77,0.77,11.49,0,0,42.89,1.53,0,0,0,0,1.53,19.15,0,2.3,0,0.77,59.75,0,75.06,34.47,0,0,0,0,8.43,0,25.28,0,0,0,0.77,0
120,0,0,0,0,3.92,0,0,17.64,0,0,37.24,3.92,0,0,1.96,0,0,21.56,0,7.84,0,0,62.71,0,41.16,21.56,0,1.96,0,0,11.76,0,21.56,0,1.96,3.92,0,0
