stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,105.42,1726.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,36.78,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,1,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,6.57,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,1.61,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,5.64,0,0,0.81,0,0,12.09,0,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,1.15,0,0,5.74,0.57,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0,0,9.75,0.57,0,0,0,0,14.35,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,3.93,0,0,12.76,2.94,0,3.93,0.98,0,0.98,0,1.96,0,0,0,0,0,0,8.83,0,0,0,0,0,18.65,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,7.85,0,0.98,21.6,1.96,0,8.83,10.8,0.98,0.98,1.96,0.98,0,1.96,3.93,0,0,0,10.8,0,0,0,0,1.96,12.76,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,11.68,0,1.06,13.81,0,1.06,5.31,24.43,0,3.19,2.12,2.12,1.06,0,2.12,1.06,0,0,7.43,0,1.06,0,0,1.06,41.42,0,1.06,0,0,1.06,0,1.06,1.06
 96-106,0,0,2.19,8.74,1.09,1.09,39.34,1.09,0,17.49,22.95,1.09,8.74,1.09,2.19,2.19,1.09,13.11,0,0,0,16.39,0,3.28,2.19,0,1.09,34.97,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,8.43,0,0.77,42.89,4.6,0.77,13.79,19.92,0,1.53,1.53,14.55,0,4.6,16.85,0.77,0.77,0,13.79,0,0,1.53,0,1.53,12.26,0,1.53,0,0,0,1.53,3.06,0.77
120,0,0,0,11.76,0,1.96,29.4,1.96,0,17.64,23.52,0,3.92,3.92,3.92,0,3.92,7.84,0,0,3.92,25.48,0,0,0,0,0,15.68,0,0,1.96,0,0,0,1.96,0
