stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,40.91,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,5,0,0,0,0,0,0,0,0,3,0,0,2,17,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0,0,0.82,0,4.93,0,0,0.82,15.6,0,0,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,0,8.06,0,0,0,0,0,0,0,0,3.22,0.81,0,0.81,7.25,0,1.61,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,71.73,0,0,0,1.72,0,0,0,0,10.33,0,0,1.72,9.18,0,0.57,0,0,0,1.15,0,1.72,0,0,0,0
 60-70,0,0,0,0,425.98,0,0,0,2.94,0,0.98,0.98,0,55.95,0,0,1.96,12.76,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,341.62,0,0,1.96,12.76,0,0,1.96,0,141.36,0,2.94,1.96,29.45,0,2.94,0,0,0,0,0,0.98,2.94,0,0,0.98
 84-94,0,1.06,1.06,0,251.7,0,1.06,6.37,11.68,0,0,1.06,0,110.45,0,6.37,4.25,26.55,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0,1.06
 96-106,0,0,4.37,0,153,0,0,3.28,3.28,0,2.19,2.19,1.09,102.73,0,6.56,1.09,27.32,0,3.28,2.19,0,1.09,0,0,0,1.09,1.09,0,1.09
108-118,0,0,1.53,0.77,108.77,0.77,0,3.06,3.83,0,0.77,4.6,0,90.38,0,6.13,3.06,23.74,0.77,3.06,5.36,0,0,0.77,0,0,3.06,0.77,0,0
120,0,0,3.92,0,66.63,0,0,1.96,0,0,0,5.88,0,47.03,0,3.92,0,13.72,0,0,3.92,0,0,0,0,0,1.96,1.96,1.96,0
