stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,1,0,0,0,1,2,0,1,16,0,0,0,1,0,2,0,1,5,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,0,0,1.64,0,1.64,21.34,0.82,0,0,0,0,0,0,0.82,5.75,0,0,0
 36-46,0,0,0,6.45,0.81,0,0,0,0,0,0,0,3.22,0,1.61,33.03,0,0.81,0,0,0,0,0,0,4.83,0,0,0
 48-58,0,1.15,0,9.18,0,4.59,0,0,0,0,0,0,4.59,0,1.72,33.85,0,0.57,1.15,0,0,0,0,0,4.02,0,0.57,0
 60-70,0,0,0,11.78,0,2.94,0,0,0.98,0,0.98,0,13.74,0,0.98,32.39,1.96,0,0,0,0,0,0,0,3.93,0.98,0.98,0
 72-82,0,0,0,10.8,0,5.89,0,0,0,0,0,0,14.72,0.98,1.96,35.34,0,0,0,0,0,0,0,0,3.93,0,0.98,0
 84-94,0,0,0,5.31,0,6.37,0,0,2.12,0,0,0,5.31,0,2.12,8.5,1.06,0,1.06,0,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,0,3.28,0,3.28,1.09,0,0,0,0,0,0,0,0,6.56,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,2.3,0.77,5.36,0.77,3.83,0,0,2.3,1.53,0,0,3.06,0,0.77,7.66,0,0,1.53,0,1.53,0,0,0,0.77,0,1.53,0.77
120,0,3.92,0,7.84,0,0,0,0,0,0,0,0,1.96,0,1.96,31.36,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96
