stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,14.78,0,13.95,0,0,1.64,0,0,4.1,0,0,0,0
 36-46,0,0,0,0,0,0,6.45,0,0.81,0,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,22.56,0,15.31,0.81,0,2.42,0,0,3.22,0,0,0,0
 48-58,0,0,0,1.15,0,0,53.94,0,0.57,0.57,1.15,0,0,0,0,0,0,0,0,2.3,0,0.57,0.57,11.48,0,8.03,0,0,1.72,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,382.79,0,0,0,3.93,0,0,0,0,0,0,0,0,7.85,0.98,0,0,19.63,0,7.85,0.98,0,2.94,0,0,1.96,0,0,0,0
 72-82,0,0,0,2.94,0.98,0,1133.82,0.98,1.96,0,34.36,0,0,0.98,0,0,0.98,0.98,0,12.76,0,2.94,0,83.44,0.98,7.85,0,1.96,1.96,0,0,1.96,0,2.94,0,0.98
 84-94,0,0,0,12.74,1.06,0,620.23,0,3.19,1.06,31.86,0,0,0,2.12,2.12,0,1.06,0,20.18,0,4.25,2.12,66.91,0,8.5,4.25,0,3.19,0,0,4.25,0,4.25,3.19,0
 96-106,0,0,2.19,14.21,3.28,1.09,716.91,0,1.09,1.09,30.6,1.09,0,0,1.09,2.19,0,1.09,1.09,20.76,0,3.28,1.09,55.74,0,21.86,3.28,0,3.28,0,0,1.09,1.09,4.37,3.28,0
108-118,0,0,0.77,2.3,0.77,0,442.73,0,0,0,17.62,0,0,0,0,0,0,1.53,1.53,15.32,0,4.6,2.3,44.43,0.77,13.02,1.53,0,1.53,0,0.77,2.3,0.77,0,4.6,0
120,0,0,0,0,0,0,266.53,0,0,0,9.8,0,0,0,0,0,0,0,0,17.64,0,1.96,0,35.28,1.96,21.56,0,0,0,0,0,0,0,1.96,0,0
