stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,15.6,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,16.11,0,0,4.83,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.15,10.9,0,0,4.59,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,3.93,0,0,0,0,0,20.61,2.94,0,0,0.98,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,6.87,0,0,1.96,13.74,0,0,0,0,0.98,142.34,11.78,0,0,2.94,25.52,0,0.98,0.98,0,0.98,0,0,0,1.96,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,1.06,1.06,1.06,5.31,0,0,3.19,27.61,1.06,0,0,0,1.06,491.72,8.5,0,0,1.06,32.92,0,0,0,0,1.06,0,1.06,0,0,0,0,2.12,0,0
 96-106,0,0,0,10.93,10.93,1.09,22.95,2.19,1.09,9.84,16.39,1.09,3.28,1.09,0,0,762.81,26.23,0,0,4.37,131.14,1.09,1.09,3.28,0,25.14,0,0,0,2.19,0,2.19,3.28,0,0
108-118,0,0,0,4.6,3.06,1.53,26.81,0,1.53,9.19,17.62,0,3.06,0.77,1.53,0.77,1482.14,17.62,0,1.53,5.36,113.36,1.53,0.77,2.3,0.77,5.36,1.53,0,0,1.53,0.77,0,1.53,1.53,0
120,0,0,0,3.92,3.92,0,7.84,3.92,0,3.92,7.84,0,0,0,1.96,0,746.68,9.8,1.96,0,1.96,78.39,0,1.96,1.96,0,3.92,0,0,0,0,0,1.96,1.96,0,0
