stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,mesenchyme,neural,periderm,spinal_cord
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,3.28,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,3.22,0.81,1.61
 48-58,0,0,0,1.15,0,0,0,0,0.57,4.02,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,4.91,0,0
 72-82,0,0,0,2.94,0,0,0,0.98,0,4.91,0,0
 84-94,0,0,0,3.19,0,0,0,0,0,4.25,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,2.19,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0.77,0,1.53,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0,0
