stage,axial,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,6,1,0,0,1,0,0,0,5,21,5,6,0,0,0
 24-34,0,0,0,1.64,0,8.21,0,0,0,0,0,0.82,0,0,0.82,0,4.93,0,1.64,31.19,0.82,0,1.64,0,0,0,0,0,18.06,2.46,8.21,0,0,0
 36-46,0,0,0,0.81,0,7.25,4.83,0,0,2.42,0,0,0,0,0,0,3.22,0,0.81,22.56,0,0.81,0,0,0,0,0.81,0,14.5,0,13.7,0,0,0
 48-58,0,0,0,0,0,41.89,4.59,0,0,1.15,0.57,0,0,0,0,0,6.89,0,0,21.8,0,0,0,0,0,0,0,0,7.46,0,2.3,0.57,0,0
 60-70,0,0,0,0.98,0,210.05,12.76,0,0,7.85,0,0,0,0,0,0,5.89,0,1.96,24.54,0,0,0,0,0,0,0,0,4.91,0,9.82,0,0,0
 72-82,0,0,0,0.98,0,277.81,8.83,0.98,0.98,22.58,0.98,0,0,0,0.98,0,14.72,0,1.96,45.16,0,0,2.94,0,0.98,0.98,0,0,5.89,0,4.91,0.98,0,0.98
 84-94,0,0,0,2.12,0,145.5,20.18,0,0,13.81,0,0,0,0,0,0,10.62,0,1.06,29.74,0,0,0,0,0,2.12,0,0,19.12,0,5.31,0,4.25,0
 96-106,0,0,1.09,2.19,0,120.21,17.49,1.09,1.09,14.21,1.09,1.09,0,0,0,1.09,15.3,1.09,4.37,20.76,0,1.09,2.19,0,0,2.19,0,0,21.86,0,0,1.09,4.37,0
108-118,0,0,0,1.53,0.77,102.64,32.17,0,0.77,12.26,0,0.77,1.53,3.06,0,0.77,11.49,0,4.6,32.94,0,0,0.77,0,0,0,0,0,28.34,0,0.77,0.77,0.77,1.53
120,0,0,0,5.88,0,54.87,15.68,1.96,3.92,7.84,1.96,0,0,0,0,0,11.76,0,5.88,29.4,0,0,0,0,0,0,0,0,11.76,0,0,1.96,3.92,0
