stage,epidermis,eye,fin_epithelia,gut,immune,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,0.57,0,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0.98,0,0,0,0.98,0,0,0.98,0.98,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,2.19,1.09,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,0
120,1.96,0,0,3.92,1.96,0,0,0,0,0,0,0
