stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,3,0,0,0,0,0,0,0,0,5,0,2,3,1,0,0,0,0,1,0,3,8,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,16.42,0,0,10.67,0,0,0,0,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0,4.83,1.61,0,8.86,0,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0.57,0,0,0,0,1.72,2.87,0,12.62,0,0,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0,0,0,5.89,0,0,1.96,0,0,0,2.94,2.94,0,24.54,0,0,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0.98,16.69,0,0.98,3.93,0,0,0,20.61,4.91,0,23.56,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,1.06,0,1.06,0,15.93,0,0,5.31,0,0,0,45.67,3.19,0,15.93,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,1.09,21.86,0,0,3.28,0,0,1.09,139.88,6.56,0,22.95,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,19.15,0,0,3.83,0,0.77,2.3,90.38,3.06,1.53,23.74,0,0,0,0,0,0,0,0,1.53,0.77,0,0,0
120,0,0,0,1.96,0,9.8,1.96,0,0,3.92,0,1.96,148.94,1.96,0,17.64,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
