stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,neural,notochord,otic,periderm,spinal_cord,taste,vasculature
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,32.71,1.72,0,0
 60-70,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,27.48,0,0,0
 72-82,5.89,0,0,1.96,0,0,0,3.93,0.98,0,0,1.96,0,0,103.07,0,0.98,0
 84-94,13.81,0,0,0,1.06,0,0,0,0,1.06,2.12,3.19,0,0,175.24,0,0,0
 96-106,40.44,1.09,0,3.28,1.09,0,1.09,9.84,0,0,3.28,5.46,0,0,127.86,0,0,1.09
108-118,75.83,0,0.77,2.3,3.83,0.77,0,40.6,0,1.53,4.6,5.36,0.77,0.77,180.77,0,0,0
120,27.44,0,0,0,5.88,0,1.96,9.8,0,1.96,1.96,5.88,0,0,97.99,0,0,0
