stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,2,3,0,0,0,0
 24-34,0.82,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,2.46,0.82,0,0,0,0,0,0,0,0,0,0.82
 36-46,1.61,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
 48-58,8.61,0,0,0,0,0,0,1.15,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,31.41,0,0,1.96,0.98,0,0,3.93,0,0,0,0.98,2.94,0,0,0,4.91,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,53.01,0.98,0.98,3.93,0.98,0.98,0,3.93,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,251.7,0,1.06,25.49,0,0,0,8.5,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,456.81,2.19,4.37,51.36,1.09,1.09,0,9.84,0,0,0,0,8.74,7.65,1.09,2.19,12.02,0,0,0,0,5.46,0,0,2.19,2.19,3.28,0
108-118,606.64,0.77,2.3,114.13,0,7.66,0,3.83,2.3,0.77,0.77,0,3.06,7.66,0,0,9.96,0,0.77,0,0,0.77,0,0,1.53,0,0,0
120,527.18,5.88,1.96,84.27,0,3.92,0,5.88,0,0,0,0,1.96,1.96,0,0,7.84,0,0,1.96,0,0,0,0,1.96,1.96,0,0
