stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2411.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1789.85,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,55.17,12.26,0,0,24.52,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,36.8,0,65.72,0,0,0,99.89,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,862.22,21.03,0,0,399.56,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,47.2,0,0,0,88.12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,723.8,9.44,0,0,258.05,0,0,0,0,40.91,0,3.15,0,0,0,0,0
 14-21,0,0,0,7,73,19,0,51,0,0,0,23,4,1,1,0,5,0,1,0,1,49,0,0,37,1018,12,3,4,26,0,15,0,117,7,1,73,293,0,4,0,0
 24-34,0,0,0,0.82,20.52,3.28,0,214.24,0,0,0,24.63,0,0.82,0.82,0.82,0.82,1.64,0.82,0.82,0.82,112.46,0,0,39.4,1529.25,3.28,13.95,8.21,0,0,46.79,0,0.82,1.64,0,7.39,318.49,0,7.39,0,3.28
 36-46,0,0,0,0,10.47,0.81,0,472.12,0.81,0,0,35.45,0,0,0,0,0,1.61,0,0.81,0.81,70.9,0,3.22,20.95,1036.9,1.61,7.25,1.61,0,0,12.09,0,0,0.81,0,0,240.9,0,8.06,0,5.64
 48-58,0,0,0,0.57,11.48,1.72,0,484.87,0,0,1.15,21.23,1.72,0,2.3,1.15,0,1.72,3.44,1.15,0,92.96,0,4.59,20.66,464.21,1.15,4.59,3.44,0,0,7.46,0,0,0,0,0,66.56,0,8.61,0,1.15
 60-70,0,0,0,0,5.89,0,0,356.29,0,0,0,36.32,1.96,0,0,1.96,0,0.98,0.98,1.96,0,58.89,0,3.93,6.87,213.97,0,2.94,3.93,0,0,3.93,0,0,0,0,0,17.67,0,2.94,0,0
 72-82,0,0,0.98,0,13.74,0.98,0,143.32,0,0,0.98,36.32,2.94,0,3.93,0.98,1.96,0,0,0,0,61.84,0,6.87,16.69,173.75,0.98,3.93,0.98,0,0,1.96,0,0,0.98,0,0,4.91,0,8.83,0,0
 84-94,0,0,1.06,0,24.43,3.19,0,115.76,0,0,1.06,21.24,4.25,0,0,7.43,3.19,2.12,1.06,0,0,58.41,1.06,6.37,19.12,131.69,0,3.19,5.31,0,1.06,11.68,0,0,0,0,0,4.25,5.31,9.56,0,0
 96-106,0,0,0,0,18.58,0,0,73.22,0,0,0,25.14,6.56,0,5.46,7.65,0,1.09,1.09,0,1.09,36.06,0,2.19,8.74,136.61,0,2.19,2.19,0,0,0,0,0,0,0,0,3.28,2.19,5.46,1.09,0
108-118,0,0,0,0,13.79,2.3,0,88.85,0,0.77,0,31.4,3.06,0,0,3.83,1.53,1.53,0.77,1.53,0,27.57,0,0.77,10.72,159.32,0,5.36,3.83,0,0,3.83,0,0,0.77,0,0,0.77,6.13,8.43,0,1.53
120,0,0,0,0,3.92,7.84,1.96,72.51,0,0,0,23.52,1.96,0,0,11.76,1.96,0,0,0,0,23.52,0,0,13.72,133.27,1.96,1.96,1.96,0,0,9.8,0,0,0,0,0,0,3.92,0,0,0
