stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,107.78,7.89,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,163.64,6.29,0,0,40.91,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,19,4,0,4,0,0,0,4,4,0,3,0,0,0,0,2,1,8,0,0,3,73,6,0,2,4,1,2,13,3,5,10,29,0,0,3,0,0
 24-34,0,0,1.64,0.82,9.03,0,0,7.39,0,0.82,0,3.28,0.82,0,0,0,0.82,0,0,0.82,3.28,13.13,0,0,11.49,106.71,1.64,0.82,1.64,0,1.64,0,0.82,2.46,2.46,10.67,37.76,0,0,9.03,0,0
 36-46,0,0,0,0.81,0,0,0,8.86,0,0,2.42,6.45,0,0,0,0.81,0,0,0,0.81,0.81,16.11,0.81,0,8.06,45.92,0.81,0,1.61,0,3.22,0,0,0,0,0,15.31,0,0,1.61,0,1.61
 48-58,0,0,0,0,2.3,0,0,17.21,0,0.57,1.72,17.21,0,0,1.15,0.57,0,0,0,0.57,0,22.38,0,0,5.74,25.82,0,0.57,0,0,2.3,0,0,0,1.15,0,9.18,0,0,2.3,0,2.3
 60-70,0,0,0,0,0.98,0,0,5.89,0,0.98,1.96,23.56,0,0,0,0.98,0,0,0,0,0,17.67,0,0.98,1.96,12.76,1.96,0,1.96,0,3.93,0,0,0,0.98,0,8.83,0,0,0,0,6.87
 72-82,0,0,0,0,1.96,0.98,0,14.72,0,0,2.94,50.06,0.98,0,0,2.94,0,0,0,2.94,0.98,33.38,0,0,0.98,10.8,0,0,1.96,0,1.96,0,0,0.98,0,0,4.91,1.96,1.96,3.93,1.96,2.94
 84-94,0,0,1.06,0,1.06,1.06,0,27.61,0,3.19,3.19,38.23,3.19,0,0,3.19,0,2.12,1.06,6.37,0,24.43,0,3.19,5.31,16.99,2.12,1.06,3.19,0,5.31,0,0,3.19,1.06,0,6.37,0,0,2.12,0,3.19
 96-106,0,0,0,0,8.74,1.09,0,19.67,1.09,0,4.37,49.18,1.09,0,2.19,1.09,1.09,1.09,0,7.65,0,18.58,0,0,7.65,19.67,2.19,1.09,5.46,0,5.46,0,0,0,0,0,3.28,0,1.09,4.37,0,5.46
108-118,0,0,0,0,3.06,0.77,0.77,7.66,0,0.77,4.6,29.87,2.3,0,0,2.3,1.53,0,0.77,4.6,0.77,30.64,0,0,5.36,11.49,0.77,1.53,1.53,0,2.3,0,0,0.77,1.53,0,0,0.77,0,4.6,0,8.43
120,0,0,0,0,1.96,0,0,1.96,0,0,3.92,19.6,9.8,0,0,5.88,0,1.96,0,7.84,0,5.88,0,1.96,3.92,33.32,7.84,1.96,0,0,0,0,0,1.96,0,0,7.84,1.96,0,3.92,0,1.96
