stage,axial,blastomeres,epidermis,eye,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,15.77,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0
 24-34,0,0,1.64,1.64,0,0,1.64,0,7.39,0,0.82,0,0,3.28,0
 36-46,0,0,0,4.03,0,0,0.81,0,4.03,0,0,0,0.81,1.61,0
 48-58,0,0,0.57,1.72,0,0.57,2.3,0,4.02,0,0,0,0,0,0
 60-70,0,0,0.98,1.96,0,0,1.96,0,4.91,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0.77,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0
