stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,3,16,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0
 24-34,0,0,0,0,6.57,1.64,0,7.39,0,0,0,0,0,1.64,0,0,0.82,0,0,1.64,13.95,0,0,3.28,46.79,0.82,0,0,0,0,0.82,0,0,2.46,10.67,0,0,1.64,0,0
 36-46,0,0,0.81,0,4.83,0,0,5.64,0,1.61,0.81,4.03,0,4.03,4.83,0,0,0,0,10.47,40.28,0,1.61,16.92,96.68,16.11,0,0,0,0,4.83,0,0.81,0,22.56,0,0.81,5.64,0,5.64
 48-58,0,0,0,0,1.15,0,0,21.23,0.57,2.87,4.02,9.75,0,2.87,4.02,0,1.15,0.57,0.57,7.46,54.51,0,2.3,12.05,51.64,16.64,0,0.57,0,0,2.87,0,1.15,0,21.23,0,0,3.44,0,6.89
 60-70,0,0,0,0,2.94,0,0,6.87,0,0.98,0.98,8.83,0,0.98,0,0,1.96,0.98,0,1.96,48.09,0,0.98,5.89,11.78,19.63,0.98,0,0,0.98,0.98,0,0,0,0.98,0,0.98,2.94,0.98,3.93
 72-82,0,0,0.98,0,6.87,0,0,23.56,0,0,3.93,20.61,0.98,0.98,2.94,0,2.94,0.98,0.98,1.96,70.68,0,2.94,9.82,35.34,12.76,0,3.93,0,0.98,0,0,1.96,0,6.87,1.96,1.96,11.78,0,7.85
 84-94,0,0,0,0,3.19,0,1.06,9.56,1.06,1.06,1.06,4.25,2.12,0,1.06,2.12,4.25,1.06,0,1.06,33.99,1.06,3.19,2.12,8.5,14.87,0,1.06,0,0,0,0,0,0,2.12,0,1.06,4.25,2.12,0
 96-106,0,0,0,0,2.19,0,0,6.56,1.09,0,2.19,13.11,0,0,3.28,0,4.37,1.09,0,2.19,51.36,0,3.28,6.56,7.65,6.56,2.19,1.09,0,1.09,2.19,0,2.19,0,2.19,0,0,4.37,3.28,1.09
108-118,0,0,0.77,0,4.6,0.77,0,4.6,1.53,1.53,2.3,10.72,1.53,0.77,1.53,0,7.66,0.77,0.77,3.06,37.53,0,2.3,9.96,16.85,19.92,0,2.3,0,1.53,1.53,0,3.06,0,0,1.53,1.53,4.6,2.3,5.36
120,0,0,0,0,9.8,0,0,0,0,0,0,5.88,3.92,0,5.88,0,5.88,1.96,0,0,29.4,0,0,7.84,15.68,45.08,0,3.92,0,0,1.96,0,3.92,0,0,0,3.92,5.88,1.96,1.96
