stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,0,2,0,0,4,8,10,0,0,0,1,0,0,0,6,0,304,1028,3,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,3.28,82.91,0,0,0.82,0,0.82,0.82,2.46,18.06,56.64,1.64,0.82,0.82,0,0,4.93,0.82,0.82,0,77.16,522.89,11.49,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,1.61,49.15,0,0,0,0,0,0,3.22,9.67,10.47,0.81,0,0.81,0,0,1.61,0,0,0.81,14.5,26.59,1.61,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,0,6.31,18.94,0,0.57,0.57,0,0,0.57,1.15,17.21,12.62,0,0,0,0,0,0,0,0,0,8.03,0.57,5.16,0,0.57,0.57,0,1.72
 60-70,0,0,0,0,0,0,4.91,30.43,0,0,0,0,0.98,0,1.96,11.78,9.82,0,0,1.96,0.98,0.98,0,0,0,0,4.91,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.93,21.6,0,0,0.98,0,0,0.98,0.98,14.72,4.91,0,0,1.96,0,0,0,0,0,0,1.96,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,1.06,14.87,0,0,1.06,0,0,0,3.19,25.49,1.06,0,0,3.19,0,0,0,0,0,0,2.12,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,5.46,20.76,1.09,0,1.09,0,0,0,1.09,21.86,1.09,0,0,5.46,0,0,1.09,0,0,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,4.6,13.79,0,0,0.77,0,0,0,2.3,19.15,2.3,0,0,2.3,0,0,2.3,0,0,0,3.83,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,17.64,0,0,0,0,0,0,3.92,33.32,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
