stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,12.59,0,0,0,0,223.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,404,0,2,0,0,0,0,0,0,5,3,0,0,0,0,0,66,0,34,41,1,0,0,0,0,0,1,4,18,1,0,2,0,0,87,0,0
 24-34,0,0,0,4.1,33.66,0,3.28,0,0,4.1,0,0,0.82,16.42,4.93,0.82,0.82,0,0.82,0,307.82,0.82,64.85,41.04,0,0,0,0,0,0,0,0,0,0,3.28,7.39,0,0,388.26,0,1.64
 36-46,0,0,0,2.42,3.22,0,7.25,0,1.61,10.47,0.81,0,0,12.09,4.83,0,0,0,0,0,396.39,0,55.59,36.26,0,0,0,0,0.81,1.61,0,0,0,0,0,4.03,0,0,235.26,0,0
 48-58,0,0,0,0.57,3.44,0,18.94,0.57,1.15,13.77,1.72,0,0,17.21,7.46,0,0,0.57,0.57,0,657.58,0,36.72,51.64,0,0,0,0,0,0.57,0,0,0,0,0,7.46,0,0,212.31,0,0.57
 60-70,0.98,0,0,1.96,5.89,0,14.72,0,0.98,15.7,2.94,0,0,24.54,12.76,0.98,0,0,0,0.98,771.48,1.96,31.41,39.26,0,0,0,0,4.91,0.98,0,0,0.98,0,0,4.91,0,6.87,175.69,0.98,0.98
 72-82,0,0,0,1.96,9.82,0,25.52,1.96,0,7.85,4.91,0.98,0,34.36,28.47,0,0,0,0,0,703.85,1.96,29.45,37.3,0,1.96,1.96,0,1.96,0.98,0,0,0,0,0,0,0,9.82,318.06,4.91,0.98
 84-94,0,0,0,0,4.25,0,22.3,1.06,0,4.25,1.06,0,0,9.56,30.8,1.06,1.06,1.06,0,0,456.68,5.31,11.68,19.12,0,1.06,2.12,0,2.12,3.19,0,0,1.06,0,0,1.06,0,4.25,284.63,2.12,0
 96-106,0,0,0,2.19,7.65,1.09,15.3,0,0,6.56,5.46,1.09,0,36.06,33.88,1.09,0,1.09,2.19,0,375.94,3.28,8.74,30.6,0,1.09,0,0,4.37,2.19,0,0,2.19,0,0,0,0,4.37,357.36,4.37,0
108-118,0.77,0,0,1.53,3.06,0,9.96,0,1.53,8.43,3.06,1.53,0,11.49,19.15,0.77,0,0,0.77,0,280.34,2.3,6.13,17.62,0,0,0,0,1.53,0.77,0,0,2.3,0,0,0,0.77,3.06,256.6,3.06,0
120,0,0,0,1.96,5.88,0,5.88,0,0,5.88,0,0,0,19.6,9.8,0,0,0,1.96,0,248.89,3.92,3.92,13.72,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,278.29,0,0
